id,source,target,type,description
REL_ACC_31,PERSON_ACCUSED_31,FIR_19,ACCUSED_IN,Accused in FIR 19
REL_ACC_32,PERSON_ACCUSED_32,FIR_20,ACCUSED_IN,Accused in FIR 20
REL_ACC_33,PERSON_ACCUSED_33,FIR_21,ACCUSED_IN,Accused in FIR 21
REL_ACC_34,PERSON_ACCUSED_34,FIR_22,ACCUSED_IN,Accused in FIR 22
REL_ACC_35,PERSON_ACCUSED_35,FIR_23,ACCUSED_IN,Accused in FIR 23
REL_ACC_36,PERSON_ACCUSED_36,FIR_24,ACCUSED_IN,Accused in FIR 24
REL_ACC_37,PERSON_ACCUSED_37,FIR_25,ACCUSED_IN,Accused in FIR 25
REL_ACC_38,PERSON_ACCUSED_38,FIR_25,ACCUSED_IN,Accused in FIR 25
REL_ACC_39,PERSON_ACCUSED_39,FIR_26,ACCUSED_IN,Accused in FIR 26
REL_ACC_40,PERSON_ACCUSED_40,FIR_27,ACCUSED_IN,Accused in FIR 27
REL_ACC_41,PERSON_ACCUSED_41,FIR_28,ACCUSED_IN,Accused in FIR 28
REL_ACC_42,PERSON_ACCUSED_42,FIR_29,ACCUSED_IN,Accused in FIR 29
REL_ACC_43,PERSON_ACCUSED_43,FIR_30,ACCUSED_IN,Accused in FIR 30
REL_ACC_44,PERSON_ACCUSED_44,FIR_31,ACCUSED_IN,Accused in FIR 31
REL_ACC_45,PERSON_ACCUSED_45,FIR_32,ACCUSED_IN,Accused in FIR 32
REL_ACC_46,PERSON_ACCUSED_46,FIR_33,ACCUSED_IN,Accused in FIR 33
REL_ACC_47,PERSON_ACCUSED_47,FIR_33,ACCUSED_IN,Accused in FIR 33
REL_ACC_48,PERSON_ACCUSED_48,FIR_33,ACCUSED_IN,Accused in FIR 33
REL_ACC_49,PERSON_ACCUSED_49,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_50,PERSON_ACCUSED_50,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_51,PERSON_ACCUSED_51,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_52,PERSON_ACCUSED_52,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_53,PERSON_ACCUSED_53,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_54,PERSON_ACCUSED_54,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_55,PERSON_ACCUSED_55,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_56,PERSON_ACCUSED_56,FIR_34,ACCUSED_IN,Accused in FIR 34
REL_ACC_57,PERSON_ACCUSED_57,FIR_35,ACCUSED_IN,Accused in FIR 35
REL_ACC_58,PERSON_ACCUSED_58,FIR_36,ACCUSED_IN,Accused in FIR 36
REL_ACC_59,PERSON_ACCUSED_59,FIR_37,ACCUSED_IN,Accused in FIR 37
REL_ACC_60,PERSON_ACCUSED_60,FIR_37,ACCUSED_IN,Accused in FIR 37
REL_ACC_61,PERSON_ACCUSED_61,FIR_38,ACCUSED_IN,Accused in FIR 38
REL_ACC_62,PERSON_ACCUSED_62,FIR_38,ACCUSED_IN,Accused in FIR 38
REL_ACC_63,PERSON_ACCUSED_63,FIR_39,ACCUSED_IN,Accused in FIR 39
REL_ACC_64,PERSON_ACCUSED_64,FIR_39,ACCUSED_IN,Accused in FIR 39
REL_ACC_65,PERSON_ACCUSED_65,FIR_40,ACCUSED_IN,Accused in FIR 40
REL_ACC_66,PERSON_ACCUSED_66,FIR_40,ACCUSED_IN,Accused in FIR 40
REL_ACC_67,PERSON_ACCUSED_67,FIR_41,ACCUSED_IN,Accused in FIR 41
REL_ACC_68,PERSON_ACCUSED_68,FIR_41,ACCUSED_IN,Accused in FIR 41
REL_ACC_69,PERSON_ACCUSED_69,FIR_42,ACCUSED_IN,Accused in FIR 42
REL_ACC_70,PERSON_ACCUSED_70,FIR_42,ACCUSED_IN,Accused in FIR 42
REL_ACC_71,PERSON_ACCUSED_71,FIR_42,ACCUSED_IN,Accused in FIR 42
REL_ACC_72,PERSON_ACCUSED_72,FIR_43,ACCUSED_IN,Accused in FIR 43
REL_ACC_73,PERSON_ACCUSED_73,FIR_44,ACCUSED_IN,Accused in FIR 44
REL_ACC_74,PERSON_ACCUSED_74,FIR_45,ACCUSED_IN,Accused in FIR 45
REL_ACC_75,PERSON_ACCUSED_75,FIR_45,ACCUSED_IN,Accused in FIR 45
REL_ACC_76,PERSON_ACCUSED_76,FIR_46,ACCUSED_IN,Accused in FIR 46
REL_ACC_77,PERSON_ACCUSED_77,FIR_46,ACCUSED_IN,Accused in FIR 46
REL_ACC_78,PERSON_ACCUSED_78,FIR_46,ACCUSED_IN,Accused in FIR 46
REL_ACC_79,PERSON_ACCUSED_79,FIR_47,ACCUSED_IN,Accused in FIR 47
REL_ACC_80,PERSON_ACCUSED_80,FIR_48,ACCUSED_IN,Accused in FIR 48
REL_ACC_81,PERSON_ACCUSED_81,FIR_48,ACCUSED_IN,Accused in FIR 48
REL_ACC_82,PERSON_ACCUSED_82,FIR_49,ACCUSED_IN,Accused in FIR 49
REL_ACC_83,PERSON_ACCUSED_83,FIR_50,ACCUSED_IN,Accused in FIR 50
REL_ACC_84,PERSON_ACCUSED_84,FIR_50,ACCUSED_IN,Accused in FIR 50
REL_ACC_85,PERSON_ACCUSED_85,FIR_51,ACCUSED_IN,Accused in FIR 51
REL_ACC_86,PERSON_ACCUSED_86,FIR_51,ACCUSED_IN,Accused in FIR 51
REL_ACC_87,PERSON_ACCUSED_87,FIR_52,ACCUSED_IN,Accused in FIR 52
REL_ACC_88,PERSON_ACCUSED_88,FIR_52,ACCUSED_IN,Accused in FIR 52
REL_ACC_89,PERSON_ACCUSED_89,FIR_53,ACCUSED_IN,Accused in FIR 53
REL_ACC_90,PERSON_ACCUSED_90,FIR_54,ACCUSED_IN,Accused in FIR 54
REL_ACC_91,PERSON_ACCUSED_91,FIR_55,ACCUSED_IN,Accused in FIR 55
REL_ACC_92,PERSON_ACCUSED_92,FIR_56,ACCUSED_IN,Accused in FIR 56
REL_ACC_93,PERSON_ACCUSED_93,FIR_56,ACCUSED_IN,Accused in FIR 56
REL_ACC_94,PERSON_ACCUSED_94,FIR_57,ACCUSED_IN,Accused in FIR 57
REL_ACC_95,PERSON_ACCUSED_95,FIR_58,ACCUSED_IN,Accused in FIR 58
REL_ACC_96,PERSON_ACCUSED_96,FIR_59,ACCUSED_IN,Accused in FIR 59
REL_ACC_97,PERSON_ACCUSED_97,FIR_60,ACCUSED_IN,Accused in FIR 60
REL_ACC_98,PERSON_ACCUSED_98,FIR_61,ACCUSED_IN,Accused in FIR 61
REL_ACC_99,PERSON_ACCUSED_99,FIR_62,ACCUSED_IN,Accused in FIR 62
REL_ACC_100,PERSON_ACCUSED_100,FIR_63,ACCUSED_IN,Accused in FIR 63
REL_ACC_101,PERSON_ACCUSED_101,FIR_64,ACCUSED_IN,Accused in FIR 64
REL_ACC_102,PERSON_ACCUSED_102,FIR_65,ACCUSED_IN,Accused in FIR 65
REL_ACC_103,PERSON_ACCUSED_103,FIR_66,ACCUSED_IN,Accused in FIR 66
REL_ACC_104,PERSON_ACCUSED_104,FIR_67,ACCUSED_IN,Accused in FIR 67
REL_ACC_105,PERSON_ACCUSED_105,FIR_67,ACCUSED_IN,Accused in FIR 67
REL_ACC_106,PERSON_ACCUSED_106,FIR_67,ACCUSED_IN,Accused in FIR 67
REL_ACC_107,PERSON_ACCUSED_107,FIR_68,ACCUSED_IN,Accused in FIR 68
REL_ACC_108,PERSON_ACCUSED_108,FIR_68,ACCUSED_IN,Accused in FIR 68
REL_ACC_109,PERSON_ACCUSED_109,FIR_68,ACCUSED_IN,Accused in FIR 68
REL_ACC_110,PERSON_ACCUSED_110,FIR_69,ACCUSED_IN,Accused in FIR 69
REL_ACC_111,PERSON_ACCUSED_111,FIR_69,ACCUSED_IN,Accused in FIR 69
REL_ACC_112,PERSON_ACCUSED_112,FIR_70,ACCUSED_IN,Accused in FIR 70
REL_ACC_113,PERSON_ACCUSED_113,FIR_71,ACCUSED_IN,Accused in FIR 71
REL_ACC_114,PERSON_ACCUSED_114,FIR_71,ACCUSED_IN,Accused in FIR 71
REL_ACC_115,PERSON_ACCUSED_115,FIR_71,ACCUSED_IN,Accused in FIR 71
REL_ACC_116,PERSON_ACCUSED_116,FIR_72,ACCUSED_IN,Accused in FIR 72
REL_ACC_117,PERSON_ACCUSED_65,FIR_73,ACCUSED_IN,Accused in FIR 73
REL_ACC_118,PERSON_ACCUSED_118,FIR_73,ACCUSED_IN,Accused in FIR 73
REL_ACC_119,PERSON_ACCUSED_119,FIR_74,ACCUSED_IN,Accused in FIR 74
REL_ACC_120,PERSON_ACCUSED_120,FIR_75,ACCUSED_IN,Accused in FIR 75
REL_ACC_121,PERSON_ACCUSED_121,FIR_76,ACCUSED_IN,Accused in FIR 76
REL_ACC_122,PERSON_ACCUSED_122,FIR_76,ACCUSED_IN,Accused in FIR 76
REL_ACC_123,PERSON_ACCUSED_123,FIR_76,ACCUSED_IN,Accused in FIR 76
REL_ACC_124,PERSON_ACCUSED_124,FIR_76,ACCUSED_IN,Accused in FIR 76
REL_ACC_125,PERSON_ACCUSED_125,FIR_77,ACCUSED_IN,Accused in FIR 77
REL_ACC_126,PERSON_ACCUSED_126,FIR_77,ACCUSED_IN,Accused in FIR 77
REL_ACC_127,PERSON_ACCUSED_127,FIR_77,ACCUSED_IN,Accused in FIR 77
REL_ACC_128,PERSON_ACCUSED_128,FIR_77,ACCUSED_IN,Accused in FIR 77
REL_ACC_129,PERSON_ACCUSED_129,FIR_78,ACCUSED_IN,Accused in FIR 78
REL_ACC_130,PERSON_ACCUSED_130,FIR_78,ACCUSED_IN,Accused in FIR 78
REL_ACC_131,PERSON_ACCUSED_131,FIR_79,ACCUSED_IN,Accused in FIR 79
REL_ACC_132,PERSON_ACCUSED_132,FIR_80,ACCUSED_IN,Accused in FIR 80
REL_ACC_133,PERSON_ACCUSED_133,FIR_80,ACCUSED_IN,Accused in FIR 80
REL_ACC_134,PERSON_ACCUSED_134,FIR_81,ACCUSED_IN,Accused in FIR 81
REL_ACC_135,PERSON_ACCUSED_135,FIR_82,ACCUSED_IN,Accused in FIR 82
REL_ACC_136,PERSON_ACCUSED_136,FIR_82,ACCUSED_IN,Accused in FIR 82
REL_ACC_137,PERSON_ACCUSED_137,FIR_83,ACCUSED_IN,Accused in FIR 83
REL_ACC_138,PERSON_ACCUSED_138,FIR_84,ACCUSED_IN,Accused in FIR 84
REL_ACC_139,PERSON_ACCUSED_139,FIR_84,ACCUSED_IN,Accused in FIR 84
REL_ACC_140,PERSON_ACCUSED_140,FIR_84,ACCUSED_IN,Accused in FIR 84
REL_ACC_141,PERSON_ACCUSED_141,FIR_85,ACCUSED_IN,Accused in FIR 85
REL_ACC_142,PERSON_ACCUSED_142,FIR_85,ACCUSED_IN,Accused in FIR 85
REL_ACC_143,PERSON_ACCUSED_143,FIR_86,ACCUSED_IN,Accused in FIR 86
REL_ACC_144,PERSON_ACCUSED_144,FIR_86,ACCUSED_IN,Accused in FIR 86
REL_ACC_145,PERSON_ACCUSED_145,FIR_86,ACCUSED_IN,Accused in FIR 86
REL_ACC_146,PERSON_ACCUSED_146,FIR_87,ACCUSED_IN,Accused in FIR 87
REL_ACC_147,PERSON_ACCUSED_147,FIR_88,ACCUSED_IN,Accused in FIR 88
REL_ACC_148,PERSON_ACCUSED_148,FIR_89,ACCUSED_IN,Accused in FIR 89
REL_ACC_149,PERSON_ACCUSED_149,FIR_90,ACCUSED_IN,Accused in FIR 90
REL_ACC_150,PERSON_ACCUSED_150,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_151,PERSON_ACCUSED_151,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_152,PERSON_ACCUSED_152,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_153,PERSON_ACCUSED_153,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_154,PERSON_ACCUSED_154,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_155,PERSON_ACCUSED_155,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_156,PERSON_ACCUSED_156,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_157,PERSON_ACCUSED_157,FIR_91,ACCUSED_IN,Accused in FIR 91
REL_ACC_158,PERSON_ACCUSED_158,FIR_92,ACCUSED_IN,Accused in FIR 92
REL_ACC_159,PERSON_ACCUSED_159,FIR_92,ACCUSED_IN,Accused in FIR 92
REL_ACC_160,PERSON_ACCUSED_160,FIR_92,ACCUSED_IN,Accused in FIR 92
REL_ACC_161,PERSON_ACCUSED_161,FIR_93,ACCUSED_IN,Accused in FIR 93
REL_ACC_162,PERSON_ACCUSED_162,FIR_94,ACCUSED_IN,Accused in FIR 94
REL_ACC_163,PERSON_ACCUSED_163,FIR_94,ACCUSED_IN,Accused in FIR 94
REL_ACC_164,PERSON_ACCUSED_164,FIR_95,ACCUSED_IN,Accused in FIR 95
REL_ACC_165,PERSON_ACCUSED_165,FIR_96,ACCUSED_IN,Accused in FIR 96
REL_ACC_166,PERSON_ACCUSED_166,FIR_96,ACCUSED_IN,Accused in FIR 96
REL_ACC_167,PERSON_ACCUSED_167,FIR_96,ACCUSED_IN,Accused in FIR 96
REL_ACC_168,PERSON_ACCUSED_168,FIR_96,ACCUSED_IN,Accused in FIR 96
REL_ACC_169,PERSON_ACCUSED_169,FIR_97,ACCUSED_IN,Accused in FIR 97
REL_ACC_170,PERSON_ACCUSED_170,FIR_97,ACCUSED_IN,Accused in FIR 97
REL_ACC_171,PERSON_ACCUSED_171,FIR_98,ACCUSED_IN,Accused in FIR 98
REL_ACC_172,PERSON_ACCUSED_172,FIR_99,ACCUSED_IN,Accused in FIR 99
REL_ACC_173,PERSON_ACCUSED_173,FIR_100,ACCUSED_IN,Accused in FIR 100
REL_ACC_174,PERSON_ACCUSED_174,FIR_100,ACCUSED_IN,Accused in FIR 100
REL_ACC_175,PERSON_ACCUSED_175,FIR_101,ACCUSED_IN,Accused in FIR 101
REL_ACC_176,PERSON_ACCUSED_176,FIR_102,ACCUSED_IN,Accused in FIR 102
REL_ACC_177,PERSON_ACCUSED_177,FIR_103,ACCUSED_IN,Accused in FIR 103
REL_ACC_178,PERSON_ACCUSED_178,FIR_104,ACCUSED_IN,Accused in FIR 104
REL_ACC_179,PERSON_ACCUSED_179,FIR_104,ACCUSED_IN,Accused in FIR 104
REL_ACC_180,PERSON_ACCUSED_180,FIR_104,ACCUSED_IN,Accused in FIR 104
REL_ACC_181,PERSON_ACCUSED_181,FIR_104,ACCUSED_IN,Accused in FIR 104
REL_ACC_182,PERSON_ACCUSED_182,FIR_105,ACCUSED_IN,Accused in FIR 105
REL_ACC_183,PERSON_ACCUSED_183,FIR_105,ACCUSED_IN,Accused in FIR 105
REL_ACC_184,PERSON_ACCUSED_184,FIR_105,ACCUSED_IN,Accused in FIR 105
REL_ACC_185,PERSON_ACCUSED_185,FIR_105,ACCUSED_IN,Accused in FIR 105
REL_ACC_186,PERSON_ACCUSED_186,FIR_106,ACCUSED_IN,Accused in FIR 106
REL_ACC_187,PERSON_ACCUSED_187,FIR_107,ACCUSED_IN,Accused in FIR 107
REL_ACC_188,PERSON_ACCUSED_188,FIR_108,ACCUSED_IN,Accused in FIR 108
REL_ACC_189,PERSON_ACCUSED_189,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_190,PERSON_ACCUSED_190,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_191,PERSON_ACCUSED_191,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_192,PERSON_ACCUSED_192,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_193,PERSON_ACCUSED_193,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_194,PERSON_ACCUSED_194,FIR_109,ACCUSED_IN,Accused in FIR 109
REL_ACC_195,PERSON_ACCUSED_195,FIR_110,ACCUSED_IN,Accused in FIR 110
REL_ACC_196,PERSON_ACCUSED_196,FIR_111,ACCUSED_IN,Accused in FIR 111
REL_ACC_197,PERSON_ACCUSED_197,FIR_111,ACCUSED_IN,Accused in FIR 111
REL_ACC_198,PERSON_ACCUSED_198,FIR_112,ACCUSED_IN,Accused in FIR 112
REL_ACC_199,PERSON_ACCUSED_199,FIR_113,ACCUSED_IN,Accused in FIR 113
REL_ACC_200,PERSON_ACCUSED_200,FIR_114,ACCUSED_IN,Accused in FIR 114
REL_ACC_201,PERSON_ACCUSED_201,FIR_114,ACCUSED_IN,Accused in FIR 114
REL_ACC_202,PERSON_ACCUSED_202,FIR_114,ACCUSED_IN,Accused in FIR 114
REL_ACC_203,PERSON_ACCUSED_203,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_204,PERSON_ACCUSED_204,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_205,PERSON_ACCUSED_205,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_206,PERSON_ACCUSED_206,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_207,PERSON_ACCUSED_207,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_208,PERSON_ACCUSED_208,FIR_115,ACCUSED_IN,Accused in FIR 115
REL_ACC_209,PERSON_ACCUSED_209,FIR_116,ACCUSED_IN,Accused in FIR 116
REL_ACC_210,PERSON_ACCUSED_210,FIR_116,ACCUSED_IN,Accused in FIR 116
REL_ACC_211,PERSON_ACCUSED_211,FIR_116,ACCUSED_IN,Accused in FIR 116
REL_ACC_212,PERSON_ACCUSED_212,FIR_117,ACCUSED_IN,Accused in FIR 117
REL_ACC_213,PERSON_ACCUSED_213,FIR_117,ACCUSED_IN,Accused in FIR 117
REL_ACC_214,PERSON_ACCUSED_214,FIR_117,ACCUSED_IN,Accused in FIR 117
REL_ACC_215,PERSON_ACCUSED_215,FIR_118,ACCUSED_IN,Accused in FIR 118
REL_ACC_216,PERSON_ACCUSED_216,FIR_119,ACCUSED_IN,Accused in FIR 119
REL_ACC_217,PERSON_ACCUSED_217,FIR_120,ACCUSED_IN,Accused in FIR 120
REL_ACC_218,PERSON_ACCUSED_218,FIR_120,ACCUSED_IN,Accused in FIR 120
REL_ACC_219,PERSON_ACCUSED_219,FIR_120,ACCUSED_IN,Accused in FIR 120
REL_ACC_220,PERSON_ACCUSED_220,FIR_120,ACCUSED_IN,Accused in FIR 120
REL_ACC_221,PERSON_ACCUSED_221,FIR_120,ACCUSED_IN,Accused in FIR 120
REL_ACC_222,PERSON_ACCUSED_222,FIR_121,ACCUSED_IN,Accused in FIR 121
REL_ACC_223,PERSON_ACCUSED_223,FIR_121,ACCUSED_IN,Accused in FIR 121
REL_ACC_224,PERSON_ACCUSED_224,FIR_121,ACCUSED_IN,Accused in FIR 121
REL_ACC_225,PERSON_ACCUSED_225,FIR_122,ACCUSED_IN,Accused in FIR 122
REL_ACC_226,PERSON_ACCUSED_226,FIR_122,ACCUSED_IN,Accused in FIR 122
REL_ACC_227,PERSON_ACCUSED_227,FIR_123,ACCUSED_IN,Accused in FIR 123
REL_ACC_228,PERSON_ACCUSED_228,FIR_124,ACCUSED_IN,Accused in FIR 124
REL_ACC_229,PERSON_ACCUSED_229,FIR_124,ACCUSED_IN,Accused in FIR 124
REL_ACC_230,PERSON_ACCUSED_230,FIR_124,ACCUSED_IN,Accused in FIR 124
REL_ACC_231,PERSON_ACCUSED_231,FIR_125,ACCUSED_IN,Accused in FIR 125
REL_ACC_232,PERSON_ACCUSED_232,FIR_126,ACCUSED_IN,Accused in FIR 126
REL_ACC_233,PERSON_ACCUSED_233,FIR_127,ACCUSED_IN,Accused in FIR 127
REL_ACC_234,PERSON_ACCUSED_234,FIR_128,ACCUSED_IN,Accused in FIR 128
REL_ACC_235,PERSON_ACCUSED_235,FIR_129,ACCUSED_IN,Accused in FIR 129
REL_ACC_236,PERSON_ACCUSED_236,FIR_130,ACCUSED_IN,Accused in FIR 130
REL_ACC_237,PERSON_ACCUSED_237,FIR_130,ACCUSED_IN,Accused in FIR 130
REL_ACC_238,PERSON_ACCUSED_238,FIR_130,ACCUSED_IN,Accused in FIR 130
REL_ACC_239,PERSON_ACCUSED_239,FIR_130,ACCUSED_IN,Accused in FIR 130
REL_ACC_240,PERSON_ACCUSED_240,FIR_130,ACCUSED_IN,Accused in FIR 130
REL_ACC_241,PERSON_ACCUSED_241,FIR_131,ACCUSED_IN,Accused in FIR 131
REL_ACC_242,PERSON_ACCUSED_242,FIR_132,ACCUSED_IN,Accused in FIR 132
REL_ACC_243,PERSON_ACCUSED_243,FIR_133,ACCUSED_IN,Accused in FIR 133
REL_ACC_244,PERSON_ACCUSED_244,FIR_133,ACCUSED_IN,Accused in FIR 133
REL_ACC_245,PERSON_ACCUSED_245,FIR_134,ACCUSED_IN,Accused in FIR 134
REL_ACC_246,PERSON_ACCUSED_246,FIR_134,ACCUSED_IN,Accused in FIR 134
REL_ACC_247,PERSON_ACCUSED_247,FIR_135,ACCUSED_IN,Accused in FIR 135
REL_ACC_248,PERSON_ACCUSED_248,FIR_135,ACCUSED_IN,Accused in FIR 135
REL_ACC_249,PERSON_ACCUSED_249,FIR_135,ACCUSED_IN,Accused in FIR 135
REL_ACC_250,PERSON_ACCUSED_250,FIR_136,ACCUSED_IN,Accused in FIR 136
REL_ACC_251,PERSON_ACCUSED_251,FIR_137,ACCUSED_IN,Accused in FIR 137
REL_ACC_252,PERSON_ACCUSED_252,FIR_138,ACCUSED_IN,Accused in FIR 138
REL_ACC_253,PERSON_ACCUSED_253,FIR_138,ACCUSED_IN,Accused in FIR 138
REL_ACC_254,PERSON_ACCUSED_254,FIR_139,ACCUSED_IN,Accused in FIR 139
REL_ACC_255,PERSON_ACCUSED_255,FIR_139,ACCUSED_IN,Accused in FIR 139
REL_ACC_256,PERSON_ACCUSED_256,FIR_139,ACCUSED_IN,Accused in FIR 139
REL_ACC_257,PERSON_ACCUSED_257,FIR_140,ACCUSED_IN,Accused in FIR 140
REL_ACC_258,PERSON_ACCUSED_258,FIR_141,ACCUSED_IN,Accused in FIR 141
REL_ACC_259,PERSON_ACCUSED_259,FIR_141,ACCUSED_IN,Accused in FIR 141
REL_ACC_260,PERSON_ACCUSED_260,FIR_142,ACCUSED_IN,Accused in FIR 142
REL_ACC_261,PERSON_ACCUSED_261,FIR_143,ACCUSED_IN,Accused in FIR 143
REL_ACC_262,PERSON_ACCUSED_262,FIR_143,ACCUSED_IN,Accused in FIR 143
REL_ACC_263,PERSON_ACCUSED_263,FIR_144,ACCUSED_IN,Accused in FIR 144
REL_ACC_264,PERSON_ACCUSED_264,FIR_145,ACCUSED_IN,Accused in FIR 145
REL_ACC_265,PERSON_ACCUSED_265,FIR_145,ACCUSED_IN,Accused in FIR 145
REL_ACC_266,PERSON_ACCUSED_266,FIR_146,ACCUSED_IN,Accused in FIR 146
REL_ACC_267,PERSON_ACCUSED_267,FIR_146,ACCUSED_IN,Accused in FIR 146
REL_ACC_268,PERSON_ACCUSED_268,FIR_147,ACCUSED_IN,Accused in FIR 147
REL_ACC_269,PERSON_ACCUSED_269,FIR_147,ACCUSED_IN,Accused in FIR 147
REL_ACC_270,PERSON_ACCUSED_270,FIR_148,ACCUSED_IN,Accused in FIR 148
REL_ACC_271,PERSON_ACCUSED_271,FIR_149,ACCUSED_IN,Accused in FIR 149
REL_ACC_272,PERSON_ACCUSED_162,FIR_150,ACCUSED_IN,Accused in FIR 150
REL_ACC_273,PERSON_ACCUSED_273,FIR_150,ACCUSED_IN,Accused in FIR 150
REL_ACC_274,PERSON_ACCUSED_274,FIR_151,ACCUSED_IN,Accused in FIR 151
REL_ACC_275,PERSON_ACCUSED_275,FIR_151,ACCUSED_IN,Accused in FIR 151
REL_ACC_276,PERSON_ACCUSED_276,FIR_152,ACCUSED_IN,Accused in FIR 152
REL_ACC_277,PERSON_ACCUSED_277,FIR_153,ACCUSED_IN,Accused in FIR 153
REL_ACC_278,PERSON_ACCUSED_278,FIR_153,ACCUSED_IN,Accused in FIR 153
REL_ACC_279,PERSON_ACCUSED_279,FIR_153,ACCUSED_IN,Accused in FIR 153
REL_ACC_280,PERSON_ACCUSED_280,FIR_154,ACCUSED_IN,Accused in FIR 154
REL_ACC_281,PERSON_ACCUSED_281,FIR_155,ACCUSED_IN,Accused in FIR 155
REL_ACC_282,PERSON_ACCUSED_282,FIR_156,ACCUSED_IN,Accused in FIR 156
REL_ACC_283,PERSON_ACCUSED_283,FIR_157,ACCUSED_IN,Accused in FIR 157
REL_ACC_284,PERSON_ACCUSED_284,FIR_158,ACCUSED_IN,Accused in FIR 158
REL_ACC_285,PERSON_ACCUSED_285,FIR_158,ACCUSED_IN,Accused in FIR 158
