id,fir_no,case_no,crime_type_id,crime_type_en,crime_type_kn,police_station_id,district_id,date,status_en,description,lat,lng
FIR_32,100240174202400001,202400001,CRIME_1,Murder,Murder,PS_174,DIST_1,2024-06-27,Under Investigation,"The complainant reported that Anitha was found dead with injuries near Church Street, allegedly assaulted by a former business partner following a dispute over a financial transaction.",12.76012,77.262494
FIR_33,300050117202500001,202500001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_117,DIST_1,2025-09-01,Under Investigation,The complainant reported that their scooter parked near Industrial Layout was stolen overnight. The vehicle was not recovered at the time of registration.,12.982607,77.520671
FIR_34,100220165202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_165,DIST_1,2025-10-12,Under Investigation,The complainant reported that her in-laws made unwelcome advances and passed lewd remarks towards her near Temple Street.,12.339354,76.684957
FIR_35,800050126202500001,202500001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_126,DIST_1,2025-11-01,Closed (Undetected),The complainant reported that their motorcycle parked near Gandhi Nagar was stolen overnight. The vehicle was not recovered at the time of registration.,13.012987,77.599467
FIR_36,100220172202500001,202500001,CRIME_24,Criminal Breach of Trust,Criminal Breach of Trust,PS_172,DIST_1,2025-07-25,Under Investigation,"The complainant alleged that the accused, entrusted with funds of Rs 437,000 for a business partnership, misappropriated the amount.",12.320082,76.676733
FIR_37,100090135202500001,202500001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_135,DIST_1,2025-11-27,Closed (Undetected),The complainant reported that their car parked near Old Town was stolen overnight. The vehicle was not recovered at the time of registration.,13.281889,75.785612
FIR_38,400020105202400001,202400001,CRIME_6,Theft,Theft,PS_105,DIST_1,2024-04-10,Charge Sheeted,"The complainant reported that unknown persons broke into their house at Ring Road and stole gold jewellery worth Rs 328,000 and cash. The incident occurred while the family was away.",15.152209,76.877442
FIR_39,100120146202500001,202500001,CRIME_2,Attempt to Murder,Attempt to Murder,PS_146,DIST_1,2025-05-17,Charge Sheeted,The accused attacked Nagaraj with a knife near Station Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.,14.47488,75.862346
FIR_40,100050117202500002,202500002,CRIME_6,Theft,Theft,PS_117,DIST_1,2025-06-05,Closed (Undetected),"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 420,000.",13.095908,77.513505
FIR_41,100220165202500002,202500002,CRIME_50,Outraging Modesty,Outraging Modesty,PS_165,DIST_1,2025-06-21,Charge Sheeted,The complainant reported that the accused outraged her modesty near Railway Station Road.,12.321114,76.691299
FIR_42,200220165202400001,202400001,CRIME_32,Ganja Possession,Ganja Possession,PS_165,DIST_1,2024-03-06,Under Investigation,Police intercepted the accused near New Extension and recovered 10.4 kg of ganja from their possession.,12.307961,76.635292
FIR_43,200120146202400002,202400002,CRIME_54,Mischief,Mischief,PS_146,DIST_1,2024-07-07,Closed (Undetected),The complainant reported an incident related to other ipc crimes occurring near Old Town. Investigation is underway to ascertain further facts.,14.425505,75.964687
FIR_44,100260176202400001,202400001,CRIME_9,Burglary,Burglary,PS_176,DIST_1,2024-03-15,Under Investigation,"Unknown persons broke into the complainant's premises at Old Town at night and decamped with valuables worth Rs 302,000.",13.36336,77.133137
FIR_45,100050120202500002,202500002,CRIME_3,Culpable Homicide,Culpable Homicide,PS_120,DIST_1,2025-05-25,Under Investigation,"The complainant reported that Manoj died following an altercation with his neighbour near MG Road, suspected to involve a business partnership.",13.076551,77.672256
FIR_46,100050124202600001,202600001,CRIME_55,Chain Snatching,Chain Snatching,PS_124,DIST_1,2026-03-11,Under Investigation,"The complainant, a woman walking near Industrial Layout, reported that two men on a motorcycle snatched her gold chain and sped away towards Church Street.",12.908,77.532403
FIR_47,100050117202400001,202400001,CRIME_30,Data Theft,Data Theft,PS_117,DIST_1,2024-01-01,Pending Trial,The complainant's confidential business data was allegedly copied and misused by a former employee.,13.075022,77.617025
FIR_48,100030110202400001,202400001,CRIME_54,Mischief,Mischief,PS_110,DIST_1,2024-02-16,Acquitted,The complainant reported an incident related to other ipc crimes occurring near Main Bazaar. Investigation is underway to ascertain further facts.,15.868841,74.583889
FIR_49,200050119202400001,202400001,CRIME_15,Acid Attack,Acid Attack,PS_119,DIST_1,2024-09-07,Closed (Undetected),"The victim was attacked with a corrosive substance by the accused near MG Road, sustaining burn injuries.",13.009281,77.693883
FIR_50,200050119202400002,202400002,CRIME_14,Stalking,Stalking,PS_119,DIST_1,2024-09-20,Under Investigation,The complainant stated that the accused has been following and contacting her repeatedly near Gandhi Nagar despite objection.,12.92668,77.641543
FIR_51,100110143202400001,202400001,CRIME_16,Child Abuse,Child Abuse,PS_143,DIST_1,2024-09-06,Pending Trial,The complainant reported that the minor victim was subjected to abuse by a known acquaintance at Railway Station Road.,12.899114,74.844802
FIR_52,300110144202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_144,DIST_1,2025-02-25,Compromised,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near Temple Street.,12.904871,74.832181
FIR_53,100170156202500001,202500001,CRIME_7,Robbery,Robbery,PS_156,DIST_1,2025-12-16,Referred to Another PS,The complainant was robbed of cash and a mobile phone by unidentified persons near Bus Stand Road at knife-point.,17.359079,76.809201
FIR_54,200050123202500001,202500001,CRIME_22,Caste Abuse,Caste Abuse,PS_123,DIST_1,2025-04-21,Charge Sheeted,The complainant reported an incident related to crimes against scs/sts occurring near Church Street. Investigation is underway to ascertain further facts.,13.020525,77.625299
FIR_55,100050115202600001,202600001,CRIME_26,Bank Fraud,Bank Fraud,PS_115,DIST_1,2026-04-23,Under Investigation,"The complainant's bank account was debited for Rs 188,000 through fraudulent means allegedly involving the accused.",12.90056,77.668165
FIR_56,100290179202500001,202500001,CRIME_33,NDPS Trafficking,NDPS Trafficking,PS_179,DIST_1,2025-10-16,Under Investigation,"A police patrol near APMC Yard intercepted a vehicle and recovered narcotic substances weighing 9.8 kg, suspected to be in transit for sale.",15.180205,76.438843
FIR_57,100050119202400001,202400001,CRIME_29,Cyber Stalking,Cyber Stalking,PS_119,DIST_1,2024-07-07,Charge Sheeted,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,13.006081,77.626749
FIR_58,100280178202400001,202400001,CRIME_9,Burglary,Burglary,PS_178,DIST_1,2024-04-02,Charge Sheeted,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 391,000.",14.807961,74.662505
FIR_59,800210164202500001,202500001,CRIME_40,Rash Driving,Rash Driving,PS_164,DIST_1,2025-02-28,Closed (Undetected),"The complainant reported that the accused was driving a vehicle rashly near Market area, endangering pedestrians.",12.525316,76.956155
FIR_60,100130148202500001,202500001,CRIME_11,Dowry Death,Dowry Death,PS_148,DIST_1,2025-02-14,Pending Trial,The victim Manoj died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by her husband.,15.496493,75.038329
FIR_61,100020105202500001,202500001,CRIME_2,Attempt to Murder,Attempt to Murder,PS_105,DIST_1,2025-08-17,Under Investigation,The accused attacked Suresh with a sharp weapon near Market area following a quarrel over land boundary issues. The victim was rushed to hospital with grievous injuries.,15.093629,76.862515
FIR_62,100010103202500001,202500001,CRIME_41,Hit and Run,Hit and Run,PS_103,DIST_1,2025-03-19,Under Investigation,The victim was hit by an unidentified vehicle near Market area and sustained injuries; the driver fled the scene.,16.216055,75.644255
FIR_63,800220165202500001,202500001,CRIME_39,Promoting Enmity,Promoting Enmity,PS_165,DIST_1,2025-07-04,Pending Trial,The complainant reported an incident related to crimes against public order occurring near College Road. Investigation is underway to ascertain further facts.,12.315718,76.633551
FIR_64,100050116202400002,202400002,CRIME_39,Promoting Enmity,Promoting Enmity,PS_116,DIST_1,2024-12-09,Under Investigation,The complainant reported an incident related to crimes against public order occurring near New Extension. Investigation is underway to ascertain further facts.,12.912697,77.698272
FIR_65,100040113202500001,202500001,CRIME_1,Murder,Murder,PS_113,DIST_1,2025-02-18,Closed (False Case),The victim Anitha was fatally attacked with a wooden stick by the accused near Old Town. The motive is suspected to be land boundary issues.,13.256155,77.583549
FIR_66,100050125202500001,202500001,CRIME_33,NDPS Trafficking,NDPS Trafficking,PS_125,DIST_1,2025-06-15,Under Investigation,"A police patrol near MG Road intercepted a vehicle and recovered narcotic substances weighing 9.4 kg, suspected to be in transit for sale.",13.061844,77.699327
FIR_67,100280178202500001,202500001,CRIME_3,Culpable Homicide,Culpable Homicide,PS_178,DIST_1,2025-12-04,Under Investigation,"The complainant reported that Kavya died following an altercation with a known acquaintance near Station Road, suspected to involve an extramarital affair suspicion.",14.800191,74.676508
FIR_68,100050116202600001,202600001,CRIME_2,Attempt to Murder,Attempt to Murder,PS_116,DIST_1,2026-01-06,Pending Trial,The accused attacked Anitha with a knife near MG Road following a quarrel over a property dispute. The victim was rushed to hospital with grievous injuries.,13.072814,77.629619
FIR_69,100050116202500002,202500002,CRIME_23,Cheating,Cheating,PS_116,DIST_1,2025-04-19,Pending Trial,"The complainant paid an advance of Rs 146,000 to the accused for unpaid loan which was never delivered as promised.",12.934901,77.672661
FIR_70,200220168202600001,202600001,CRIME_9,Burglary,Burglary,PS_168,DIST_1,2026-03-26,Pending Trial,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 132,000.",12.338359,76.608987
FIR_71,100140150202500001,202500001,CRIME_41,Hit and Run,Hit and Run,PS_150,DIST_1,2025-12-28,Pending Trial,The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,15.385824,75.571085
FIR_72,200050114202400001,202400001,CRIME_1,Murder,Murder,PS_114,DIST_1,2024-04-03,Charge Sheeted,"The complainant reported that Ramesh was found dead with injuries near Station Road, allegedly assaulted by a known acquaintance following a dispute over a family dispute.",13.074167,77.671137
FIR_73,200250175202400001,202400001,CRIME_6,Theft,Theft,PS_175,DIST_1,2024-02-03,Under Investigation,"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 138,000.",13.897374,75.555119
FIR_74,100160154202500001,202500001,CRIME_9,Burglary,Burglary,PS_154,DIST_1,2025-03-22,Under Investigation,"Unknown persons broke into the complainant's premises at Gandhi Nagar at night and decamped with valuables worth Rs 178,000.",14.82874,75.373908
FIR_75,200110142202600001,202600001,CRIME_37,Rioting,Rioting,PS_142,DIST_1,2026-01-12,Closed (Undetected),"A group of persons allegedly assembled unlawfully near APMC Yard and engaged in rioting, causing damage to property.",12.919638,74.82976
FIR_76,100160153202400001,202400001,CRIME_9,Burglary,Burglary,PS_153,DIST_1,2024-07-22,Under Investigation,"Unknown persons broke into the complainant's premises at Main Bazaar at night and decamped with valuables worth Rs 372,000.",14.754165,75.415281
FIR_77,300050125202500001,202500001,CRIME_55,Chain Snatching,Chain Snatching,PS_125,DIST_1,2025-01-17,Under Investigation,"The complainant, a woman walking near Whitefield Main Road, reported that two men on a motorcycle snatched her gold chain and sped away towards ITPL Road. CCTV footage is being reviewed; the MO matches similar chain-snatching incidents reported recently in the city.",13.037078,77.529587
FIR_78,100010103202500002,202500002,CRIME_30,Data Theft,Data Theft,PS_103,DIST_1,2025-04-21,Referred to Another PS,The complainant's confidential business data was allegedly copied and misused by a former employee.,16.20443,75.641825
FIR_79,300220165202500001,202500001,CRIME_13,Sexual Harassment,Sexual Harassment,PS_165,DIST_1,2025-05-18,Charge Sheeted,The complainant reported that a former business partner made unwelcome advances and passed lewd remarks towards her near MG Road.,12.319354,76.638541
FIR_80,100210164202600001,202600001,CRIME_37,Rioting,Rioting,PS_164,DIST_1,2026-06-25,Charge Sheeted,"A group of persons allegedly assembled unlawfully near Main Bazaar and engaged in rioting, causing damage to property.",12.516816,76.917679
FIR_81,100260176202500001,202500001,CRIME_25,Forgery,Forgery,PS_176,DIST_1,2025-12-07,Under Investigation,The complainant reported that the accused forged signatures on documents related to past enmity to gain wrongful benefit.,13.38905,77.096793
FIR_82,100220168202400001,202400001,CRIME_55,Chain Snatching,Chain Snatching,PS_168,DIST_1,2024-11-29,Charge Sheeted,"The complainant, a woman walking near College Road, reported that two men on a motorcycle snatched her gold chain and sped away towards College Road.",12.306152,76.615384
FIR_83,100310181202400001,202400001,CRIME_14,Stalking,Stalking,PS_181,DIST_1,2024-09-21,Pending Trial,The complainant stated that the accused has been following and contacting her repeatedly near Main Bazaar despite objection.,16.784729,77.142806
FIR_84,100010103202600001,202600001,CRIME_8,Dacoity,Dacoity,PS_103,DIST_1,2026-06-12,Closed (Undetected),"A group of armed persons robbed the complainant's shop at Railway Station Road, decamping with cash and goods worth Rs 379,000.",16.170777,75.735078
FIR_85,100070131202600001,202600001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_131,DIST_1,2026-07-02,Under Investigation,The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.,11.899534,76.888494
FIR_86,500110144202500001,202500001,CRIME_14,Stalking,Stalking,PS_144,DIST_1,2025-07-23,Under Investigation,The complainant stated that the accused has been following and contacting her repeatedly near College Road despite objection.,12.901831,74.840168
FIR_87,100040112202600001,202600001,CRIME_12,Domestic Violence,Domestic Violence,PS_112,DIST_1,2026-06-24,Charge Sheeted,The complainant alleged repeated physical and mental harassment by a former business partner over dowry-related demands at their residence in Market area.,13.281234,77.556826
FIR_88,100050116202600002,202600002,CRIME_8,Dacoity,Dacoity,PS_116,DIST_1,2026-04-12,Pending Trial,"A group of armed persons robbed the complainant's shop at Market area, decamping with cash and goods worth Rs 252,000.",13.060394,77.671328
FIR_89,400050126202600001,202600001,CRIME_9,Burglary,Burglary,PS_126,DIST_1,2026-01-14,Closed (False Case),"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 117,000.",12.981786,77.612986
FIR_90,100060129202400001,202400001,CRIME_36,Illegal Arms Manufacturing,Illegal Arms Manufacturing,PS_129,DIST_1,2024-04-02,Under Investigation,The complainant reported an incident related to arms act offences occurring near Market area. Investigation is underway to ascertain further facts.,17.86644,77.565592
FIR_91,100050120202500003,202500003,CRIME_32,Ganja Possession,Ganja Possession,PS_120,DIST_1,2025-12-12,Charge Sheeted,Police intercepted the accused near Industrial Layout and recovered 10.5 kg of ganja from their possession.,13.003246,77.593133
FIR_92,100270177202500001,202500001,CRIME_9,Burglary,Burglary,PS_177,DIST_1,2025-10-26,Under Investigation,"Unknown persons broke into the complainant's premises at Bus Stand Road at night and decamped with valuables worth Rs 209,000.",13.389428,74.728927
FIR_93,100090136202600001,202600001,CRIME_7,Robbery,Robbery,PS_136,DIST_1,2026-06-23,Pending Trial,The complainant was robbed of cash and a mobile phone by unidentified persons near College Road at knife-point.,13.379535,75.822732
FIR_94,100060130202500001,202500001,CRIME_2,Attempt to Murder,Attempt to Murder,PS_130,DIST_1,2025-04-27,Charge Sheeted,The accused attacked Ramesh with a sharp weapon near College Road following a quarrel over unpaid loan. The victim was rushed to hospital with grievous injuries.,17.891316,77.573328
FIR_95,300050123202500001,202500001,CRIME_42,Drunken Driving,Drunken Driving,PS_123,DIST_1,2025-10-10,Charge Sheeted,The accused was found driving under the influence of alcohol near Gandhi Nagar and was apprehended by a police patrol.,13.002673,77.519445
FIR_96,100050127202400001,202400001,CRIME_55,Chain Snatching,Chain Snatching,PS_127,DIST_1,2024-03-17,Closed (Undetected),"The complainant, a woman walking near Bus Stand Road, reported that two men on a motorcycle snatched her gold chain and sped away towards Market area.",12.923414,77.599226
FIR_97,100050115202500001,202500001,CRIME_10,Vehicle Theft,Vehicle Theft,PS_115,DIST_1,2025-10-16,Charge Sheeted,The complainant reported that their scooter parked near Main Bazaar was stolen overnight. The vehicle was not recovered at the time of registration.,13.068215,77.699632
FIR_98,100050122202500001,202500001,CRIME_11,Dowry Death,Dowry Death,PS_122,DIST_1,2025-06-22,Acquitted,The victim Ramesh died under suspicious circumstances at her matrimonial home. The complainant alleges harassment for dowry by a known acquaintance.,12.916801,77.651831
FIR_99,100120145202600001,202600001,CRIME_7,Robbery,Robbery,PS_145,DIST_1,2026-06-25,Under Investigation,The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.,14.494991,75.917567
FIR_100,100050120202500004,202500004,CRIME_7,Robbery,Robbery,PS_120,DIST_1,2025-09-12,Acquitted,The complainant was robbed of cash and a mobile phone by unidentified persons near Station Road at knife-point.,12.987064,77.665035
FIR_101,100050117202400002,202400002,CRIME_39,Promoting Enmity,Promoting Enmity,PS_117,DIST_1,2024-12-05,Closed (Undetected),The complainant reported an incident related to crimes against public order occurring near Old Town. Investigation is underway to ascertain further facts.,12.981248,77.51742
FIR_102,200060130202600001,202600001,CRIME_40,Rash Driving,Rash Driving,PS_130,DIST_1,2026-01-29,Under Investigation,"The complainant reported that the accused was driving a vehicle rashly near Industrial Layout, endangering pedestrians.",17.904898,77.50025
FIR_103,100050125202600001,202600001,CRIME_15,Acid Attack,Acid Attack,PS_125,DIST_1,2026-06-24,Acquitted,"The victim was attacked with a corrosive substance by the accused near APMC Yard, sustaining burn injuries.",13.091541,77.572475
FIR_104,100070132202600001,202600001,CRIME_47,Land Fraud,Land Fraud,PS_132,DIST_1,2026-02-14,Charge Sheeted,The complainant reported an incident related to crimes related to documents/property occurring near Market area. Investigation is underway to ascertain further facts.,11.978142,76.968149
FIR_105,500280178202400001,202400001,CRIME_23,Cheating,Cheating,PS_178,DIST_1,2024-05-16,Charge Sheeted,"The complainant paid an advance of Rs 300,000 to the accused for a property dispute which was never delivered as promised.",14.827041,74.647162
FIR_106,100260176202500002,202500002,CRIME_30,Data Theft,Data Theft,PS_176,DIST_1,2025-03-12,Under Investigation,The complainant's confidential business data was allegedly copied and misused by a former employee.,13.302519,77.15016
FIR_107,300300180202500001,202500001,CRIME_42,Drunken Driving,Drunken Driving,PS_180,DIST_1,2025-12-30,Pending Trial,The accused was found driving under the influence of alcohol near Main Bazaar and was apprehended by a police patrol.,16.869105,75.745239
FIR_108,300220165202400001,202400001,CRIME_9,Burglary,Burglary,PS_165,DIST_1,2024-12-21,Convicted,"Unknown persons broke into the complainant's premises at College Road at night and decamped with valuables worth Rs 72,000.",12.346402,76.640308
FIR_109,100200162202500001,202500001,CRIME_41,Hit and Run,Hit and Run,PS_162,DIST_1,2025-10-02,Under Investigation,The victim was hit by an unidentified vehicle near Station Road and sustained injuries; the driver fled the scene.,15.380316,76.123047
FIR_110,500130147202500001,202500001,CRIME_29,Cyber Stalking,Cyber Stalking,PS_147,DIST_1,2025-02-05,Under Investigation,The complainant reported repeated harassing messages and unwanted contact from an unknown social media account.,15.499398,75.050128
FIR_111,100260176202600001,202600001,CRIME_17,Child Trafficking,Child Trafficking,PS_176,DIST_1,2026-06-21,Charge Sheeted,Information was received regarding a minor being transported from Bus Stand Road allegedly for trafficking purposes; the child was rescued.,13.288015,77.040373
FIR_112,100050115202400001,202400001,CRIME_6,Theft,Theft,PS_115,DIST_1,2024-11-28,Pending Trial,"The complainant's two-wheeler was stolen from outside their residence at Temple Street, valued at approximately Rs 199,000.",13.042404,77.654305
FIR_113,100050127202500002,202500002,CRIME_9,Burglary,Burglary,PS_127,DIST_1,2025-05-21,Pending Trial,"Unknown persons broke into the complainant's premises at New Extension at night and decamped with valuables worth Rs 159,000.",12.922109,77.544894
FIR_114,800050115202400001,202400001,CRIME_41,Hit and Run,Hit and Run,PS_115,DIST_1,2024-11-18,Charge Sheeted,The victim was hit by an unidentified vehicle near College Road and sustained injuries; the driver fled the scene.,12.945256,77.673531
FIR_115,100110143202600001,202600001,CRIME_33,NDPS Trafficking,NDPS Trafficking,PS_143,DIST_1,2026-01-29,Under Investigation,"A police patrol near Station Road intercepted a vehicle and recovered narcotic substances weighing 10.1 kg, suspected to be in transit for sale.",12.855352,74.889741
FIR_116,100050122202500002,202500002,CRIME_5,Grievous Hurt,Grievous Hurt,PS_122,DIST_1,2025-04-16,Pending Trial,The victim sustained grievous injuries after being attacked with a wooden stick by her husband near MG Road over a financial transaction.,13.013075,77.563136
FIR_117,300050115202500001,202500001,CRIME_9,Burglary,Burglary,PS_115,DIST_1,2025-06-22,Charge Sheeted,"Unknown persons broke into the complainant's premises at Church Street at night and decamped with valuables worth Rs 97,000.",13.001587,77.541858
