id,license_plate,make,model,color
VEHICLE_89,LT93NXY,BMW,Cruze,lavender
VEHICLE_90,QT56HZQ,Fiat,Land Cruiser,black
VEHICLE_91,WO95ATW,Rivian,Land Cruiser,orchid
VEHICLE_92,ZG41CZY,Mercedes Benz,Charger,plum
VEHICLE_93,WI91GPI,Audi,Grand Cherokee,green
VEHICLE_94,PG29BGQ,Citroën,Escalade,azure
VEHICLE_95,NR13MFD,Honda,Durango,lavender
VEHICLE_96,VN81HNV,MG,Expedition,mint green
VEHICLE_97,IC86PBP,Volkswagen,Sentra,purple
VEHICLE_98,LJ86MGX,Honda,Civic,mint green
VEHICLE_99,HE61ATB,Rolls Royce,Prius,black
VEHICLE_100,CY09JCS,Mercedes Benz,Murcielago,gold
VEHICLE_101,EM13SHB,Toyota,Jetta,gold
VEHICLE_102,LU98UOQ,Chrysler,Silverado,indigo
VEHICLE_103,YE77KPT,Cadillac,Impala,lavender
VEHICLE_104,YS26NYH,Cadillac,Model X,violet
VEHICLE_105,XU58KDJ,Nissan,Beetle,yellow
VEHICLE_106,GI23LTQ,Polestar,Spyder,lime
VEHICLE_107,TB98TUK,Mazda,Durango,pink
VEHICLE_108,HK62FVA,Maserati,Civic,silver
VEHICLE_109,DZ34CCI,Lamborghini,V90,silver
VEHICLE_110,SK84HCL,Rolls Royce,Beetle,violet
VEHICLE_111,PE82CUX,Mitsubishi,XC90,sky blue
VEHICLE_112,BL82NLQ,Jaguar,Altima,blue
VEHICLE_113,CG63NOB,Nissan,Camry,teal
VEHICLE_114,AF94ZID,Ferrari,Model Y,turquoise
VEHICLE_115,QH30URV,Hyundai,Ranchero,blue
VEHICLE_116,QI42HXI,Rivian,CTS,pink
VEHICLE_117,MB89GUH,Skoda,Accord,cyan
VEHICLE_118,PO00EYR,Bugatti,Murcielago,orchid
VEHICLE_119,EG29GRX,Toyota,PT Cruiser,indigo
VEHICLE_120,YY46KBR,Aston Martin,V90,sky blue
VEHICLE_121,US57FMU,Jaguar,F-150,indigo
VEHICLE_122,EC66ZNA,Rivian,Fortwo,orchid
VEHICLE_123,DV35DWT,Chevrolet,Charger,salmon
VEHICLE_124,ZH47KFM,Tesla,Fortwo,orange
VEHICLE_125,GX36HPR,Honda,Challenger,cyan
VEHICLE_126,TS76CPF,Ford,Element,indigo
VEHICLE_127,DM15BHV,Subaru,Jetta,turquoise
VEHICLE_128,JM84HLU,BMW,Wrangler,magenta
VEHICLE_129,WD06EYP,Rolls Royce,911,teal
VEHICLE_130,GL39PIK,Porsche,Golf,violet
VEHICLE_131,JW20UXW,Rivian,Model T,red
VEHICLE_132,GG27MWR,Chevrolet,Element,lavender
VEHICLE_133,PE34LZM,Maruti,Focus,mint green
VEHICLE_134,IZ17YSI,Chevrolet,LeBaron,black
VEHICLE_135,NE83VTS,Maruti,Taurus,ivory
VEHICLE_136,NV02UWP,Toyota,Murcielago,purple
VEHICLE_137,OI04BBC,Rivian,Mustang,blue
VEHICLE_138,UR77PGH,Honda,Escalade,magenta
VEHICLE_139,WK32KFW,Smart,Wrangler,sky blue
VEHICLE_140,AQ06JHI,Porsche,Fiesta,olive
VEHICLE_141,ZI79TFD,Land Rover,Countach,teal
VEHICLE_142,GQ48OSV,Mercedes Benz,CTS,sky blue
VEHICLE_143,PF00LOI,Land Rover,Focus,magenta
VEHICLE_144,AT18QVK,Volvo,2,blue
VEHICLE_145,MV51JPU,Chevrolet,Silverado,fuchsia
VEHICLE_146,EC94LZV,Rolls Royce,Altima,cyan
VEHICLE_147,WW82BDR,Kia,Land Cruiser,tan
VEHICLE_148,CJ88APP,Ford,Impala,white
VEHICLE_149,PQ39SPO,Skoda,El Camino,sky blue
VEHICLE_150,PE82VNQ,Renault,CTS,cyan
