ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,CrimeRegisteredDate,ArrestDelayDays,DistrictName,CrimeMajorHeadID,CrimeGroupName,GravityOffenceID,IsNightTime,AccusedMasterID,IsAccused
27,479,1,2025-04-18,2025-04-15,3,Bengaluru Rural,1,Crimes Against Body,2,1,839,1
28,507,1,2026-07-19,2026-07-17,2,Chitradurga,15,Other IPC Crimes,2,1,881,1
29,660,1,2025-12-10,2025-11-20,20,Bagalkote,6,Economic Offences,1,1,1172,1
30,819,2,2026-03-23,2025-10-13,161,Dakshina Kannada,10,Crimes Against Public Order,2,1,1440,1
31,781,1,2026-08-15,2026-04-12,125,Chitradurga,11,Traffic Related Offences,2,1,1365,1
32,106,1,2025-03-29,2025-03-12,17,Tumakuru,7,Cyber Crimes,2,1,186,1
33,572,1,2026-07-26,2026-06-20,36,Mysuru,7,Cyber Crimes,1,1,1017,1
34,128,1,2024-03-16,2024-01-16,60,Bengaluru Urban,10,Crimes Against Public Order,2,1,234,1
35,564,1,2026-06-24,2026-06-19,5,Bengaluru Urban,14,Sexual Offences,1,1,1006,1
36,268,1,2025-01-17,2025-01-12,5,Ramanagara,8,Drug/Narcotic Offences,2,1,481,1
37,935,2,2025-11-12,2025-11-10,2,Bengaluru Urban,1,Crimes Against Body,2,1,133,1
38,561,1,2026-04-08,2026-04-07,1,Bengaluru Urban,4,Crimes Against Children,2,1,1002,1
39,276,1,2024-12-17,2024-11-19,28,Belagavi (Belgaum),7,Cyber Crimes,2,1,496,1
40,289,1,2025-04-05,2025-03-08,28,Koppal,13,Crimes Related to Documents/Property,2,1,517,1
41,157,1,2025-02-26,2024-11-05,113,Tumakuru,3,Crimes Against Women,2,1,283,1
42,960,1,2025-02-27,2024-10-04,146,Bengaluru Urban,2,Crimes Against Property,2,1,39,1
43,716,1,2025-01-22,2025-01-21,1,Bengaluru Urban,2,Crimes Against Property,2,1,1267,1
44,918,1,2025-09-11,2025-09-06,5,Belagavi (Belgaum),2,Crimes Against Property,2,1,823,1
45,617,2,2025-10-20,2025-10-08,12,Bengaluru Urban,2,Crimes Against Property,1,1,1099,1
46,262,2,2025-10-24,2025-10-11,13,Mysuru,8,Drug/Narcotic Offences,2,1,472,1
47,441,2,2025-11-19,2025-09-01,79,Bengaluru Urban,3,Crimes Against Women,2,1,779,1
48,183,1,2024-02-01,2024-01-30,2,Mysuru,3,Crimes Against Women,1,1,333,1
49,64,1,2024-12-14,2024-12-09,5,Bengaluru Urban,10,Crimes Against Public Order,1,1,101,1
50,970,1,2025-05-06,2025-04-29,7,Tumakuru,2,Crimes Against Property,2,1,11,1
51,816,1,2024-11-07,2024-11-05,2,Mysuru,2,Crimes Against Property,1,1,1436,1
52,985,1,2024-04-04,2024-03-20,15,Gadag,3,Crimes Against Women,2,1,364,1
53,107,1,2026-02-04,2025-12-30,36,Vijayapura,11,Traffic Related Offences,2,1,187,1
54,673,2,2026-02-25,2026-02-18,7,Mandya,7,Cyber Crimes,2,1,1195,1
55,692,1,2024-07-13,2024-06-26,17,Bengaluru Urban,1,Crimes Against Body,2,1,1226,1
56,611,1,2024-04-14,2024-04-11,3,Tumakuru,2,Crimes Against Property,2,1,1089,1
57,646,1,2026-01-19,2025-12-20,30,Bidar,12,Environmental Offences,2,1,1147,1
58,370,1,2026-08-25,2026-04-07,140,Bengaluru Rural,10,Crimes Against Public Order,2,1,664,1
59,805,1,2026-01-09,2025-12-12,28,Belagavi (Belgaum),1,Crimes Against Body,2,1,1416,1
60,199,1,2026-04-24,2026-04-06,18,Raichur,10,Crimes Against Public Order,1,1,362,1
61,883,1,2024-10-09,2024-10-04,5,Vijayanagara,1,Crimes Against Body,2,1,851,1
62,302,1,2026-01-19,2026-01-08,11,Chikkaballapura,3,Crimes Against Women,1,1,537,1
63,410,1,2024-06-15,2024-06-13,2,Chikkaballapura,9,Arms Act Offences,3,1,729,1
64,12,1,2025-10-25,2025-08-20,66,Bengaluru Urban,2,Crimes Against Property,2,1,18,1
65,439,1,2025-11-24,2025-11-23,1,Bengaluru Urban,10,Crimes Against Public Order,2,1,775,1
66,496,1,2024-03-29,2024-03-26,3,Bengaluru Urban,2,Crimes Against Property,2,1,865,1
67,879,1,2024-03-23,2024-03-09,14,Bengaluru Rural,8,Drug/Narcotic Offences,1,1,1199,1
68,224,2,2025-12-11,2025-12-07,4,Bengaluru Urban,10,Crimes Against Public Order,2,1,407,0
69,14,1,2025-09-15,2025-07-22,55,Kodagu,8,Drug/Narcotic Offences,1,1,21,1
70,725,1,2024-05-16,2024-04-21,25,Bengaluru Urban,10,Crimes Against Public Order,2,1,1282,1
71,632,1,2024-07-07,2024-06-30,7,Bengaluru Urban,6,Economic Offences,2,1,1124,1
72,652,1,2025-02-21,2025-01-16,36,Bengaluru Urban,2,Crimes Against Property,1,1,1158,1
73,438,1,2025-03-13,2025-02-27,14,Raichur,6,Economic Offences,2,1,774,1
74,853,1,2024-03-20,2024-03-14,6,Gadag,6,Economic Offences,2,1,1495,1
75,559,2,2025-07-15,2025-07-11,4,Dakshina Kannada,11,Traffic Related Offences,2,1,997,1
76,116,2,2025-05-19,2025-04-16,33,Bengaluru Urban,1,Crimes Against Body,1,1,210,1
77,26,1,2024-12-01,2024-11-22,9,Vijayanagara,9,Arms Act Offences,2,1,39,1
78,458,2,2026-02-09,2026-02-04,5,Yadgir,1,Crimes Against Body,2,1,812,1
79,155,1,2025-01-11,2025-01-07,4,Mysuru,7,Cyber Crimes,2,1,281,1
80,391,1,2026-03-28,2025-11-09,139,Bengaluru Urban,6,Economic Offences,2,1,698,1
81,69,2,2025-05-26,2025-04-19,37,Bengaluru Urban,6,Economic Offences,3,1,110,0
82,695,1,2024-12-01,2024-10-21,41,Vijayapura,2,Crimes Against Property,2,1,1230,1
83,117,1,2025-08-11,2025-06-22,50,Bengaluru Urban,2,Crimes Against Property,1,1,212,1
84,895,2,2026-02-24,2026-01-31,24,Uttara Kannada,8,Drug/Narcotic Offences,2,1,878,1
85,317,1,2024-11-10,2024-08-07,95,Belagavi (Belgaum),7,Cyber Crimes,2,1,565,1
86,83,1,2025-01-11,2024-09-21,112,Yadgir,3,Crimes Against Women,1,1,137,1
87,714,1,2025-03-05,2025-03-02,3,Bengaluru Urban,2,Crimes Against Property,2,1,1265,1
88,933,1,2024-01-17,2024-01-12,5,Belagavi (Belgaum),11,Traffic Related Offences,2,1,343,0
89,320,1,2024-10-14,2024-07-18,88,Belagavi (Belgaum),7,Cyber Crimes,2,1,572,1
90,399,1,2025-05-24,2025-04-27,27,Kolar,8,Drug/Narcotic Offences,2,1,714,1
91,240,1,2025-06-28,2025-03-01,119,Bengaluru Urban,2,Crimes Against Property,2,1,429,1
92,526,1,2025-10-16,2025-09-27,19,Bagalkote,8,Drug/Narcotic Offences,2,1,923,1
93,114,2,2024-12-30,2024-11-18,42,Bengaluru Urban,11,Traffic Related Offences,1,1,200,1
94,123,1,2026-01-28,2026-01-20,8,Haveri,7,Cyber Crimes,1,1,227,1
95,663,2,2026-02-23,2026-02-07,16,Bengaluru Urban,10,Crimes Against Public Order,2,1,1181,1
96,922,1,2025-07-24,2025-07-23,1,Belagavi (Belgaum),8,Drug/Narcotic Offences,2,1,211,1
97,899,1,2024-10-20,2024-08-24,57,Bengaluru Urban,2,Crimes Against Property,2,1,557,0
98,511,1,2025-11-27,2025-11-25,2,Bengaluru Urban,1,Crimes Against Body,2,1,888,1
99,792,2,2025-03-29,2025-03-17,12,Belagavi (Belgaum),11,Traffic Related Offences,2,1,1386,1
100,480,1,2026-05-20,2026-05-17,3,Gadag,6,Economic Offences,3,1,842,0
101,780,1,2024-12-31,2024-12-30,1,Bengaluru Urban,8,Drug/Narcotic Offences,2,1,1362,1
102,82,1,2024-12-01,2024-11-29,2,Mysuru,2,Crimes Against Property,2,1,135,1
103,56,1,2025-10-23,2025-10-16,7,Vijayanagara,8,Drug/Narcotic Offences,2,1,93,1
104,826,2,2025-04-07,2025-04-03,4,Bengaluru Urban,13,Crimes Related to Documents/Property,2,1,1450,1
105,562,2,2025-09-07,2025-09-06,1,Bengaluru Urban,2,Crimes Against Property,2,1,1003,1
106,61,1,2025-08-22,2025-08-17,5,Ballari (Bellary),1,Crimes Against Body,1,1,98,1
107,417,1,2025-05-21,2025-04-29,22,Bagalkote,3,Crimes Against Women,3,1,742,1
108,624,1,2026-07-25,2026-07-17,8,Bengaluru Urban,8,Drug/Narcotic Offences,1,1,1113,1
109,615,1,2024-08-25,2024-06-13,73,Uttara Kannada,6,Economic Offences,2,1,1095,1
110,495,1,2025-04-26,2025-03-31,26,Raichur,7,Cyber Crimes,3,1,864,1
111,478,1,2026-01-01,2025-10-28,65,Bengaluru Urban,2,Crimes Against Property,3,1,838,1
112,74,1,2025-04-21,2025-03-22,30,Haveri,2,Crimes Against Property,2,1,119,1
113,192,1,2024-08-16,2024-08-01,15,Mandya,3,Crimes Against Women,2,1,351,1
114,203,1,2025-04-14,2025-04-04,10,Tumakuru,2,Crimes Against Property,1,1,370,1
115,452,1,2024-01-23,2024-01-22,1,Mysuru,6,Economic Offences,2,1,798,1
116,475,1,2025-01-28,2025-01-25,3,Gadag,1,Crimes Against Body,2,1,834,1
117,757,1,2026-05-20,2026-05-05,15,Tumakuru,11,Traffic Related Offences,2,1,1328,1
118,627,1,2025-07-15,2025-07-09,6,Belagavi (Belgaum),2,Crimes Against Property,1,1,1118,1
119,137,1,2024-08-04,2024-08-01,3,Ballari (Bellary),1,Crimes Against Body,2,1,251,1
120,141,1,2025-06-14,2025-06-11,3,Bengaluru Rural,7,Cyber Crimes,2,1,258,0
121,666,1,2026-08-03,2026-07-16,18,Uttara Kannada,2,Crimes Against Property,1,1,1184,1
122,613,1,2024-03-19,2024-03-07,12,Bengaluru Urban,6,Economic Offences,2,1,1092,1
123,486,1,2025-09-09,2025-09-03,6,Mysuru,3,Crimes Against Women,1,1,850,1
124,565,1,2026-03-25,2026-03-23,2,Dharwad,11,Traffic Related Offences,1,1,1007,1
125,900,1,2024-05-08,2024-05-04,4,Bengaluru Urban,1,Crimes Against Body,2,1,11,1
126,947,1,2024-09-30,2024-08-17,44,Dakshina Kannada,3,Crimes Against Women,2,1,1025,1
127,571,2,2025-02-10,2025-02-08,2,Bengaluru Urban,2,Crimes Against Property,1,1,1015,1
128,791,1,2024-02-15,2024-02-13,2,Belagavi (Belgaum),8,Drug/Narcotic Offences,2,1,1384,1
129,654,1,2026-01-29,2025-11-18,72,Bengaluru Urban,2,Crimes Against Property,2,1,1160,1
130,252,1,2025-09-15,2025-08-16,30,Dharwad,5,Crimes Against SCs/STs,2,1,454,1
131,870,1,2025-01-11,2024-12-15,27,Dakshina Kannada,11,Traffic Related Offences,2,1,1,1
132,839,1,2026-08-24,2026-05-08,108,Bengaluru Urban,2,Crimes Against Property,2,1,1467,1
133,105,1,2024-05-20,2024-05-16,4,Uttara Kannada,6,Economic Offences,2,1,185,1
134,390,1,2025-06-12,2025-01-27,136,Uttara Kannada,11,Traffic Related Offences,2,1,697,1
135,631,2,2026-06-23,2026-05-02,52,Bengaluru Urban,6,Economic Offences,1,1,1123,1
136,547,1,2025-09-28,2025-08-29,30,Chitradurga,1,Crimes Against Body,2,1,968,1
137,335,1,2024-12-12,2024-12-10,2,Vijayanagara,2,Crimes Against Property,2,1,598,1
138,407,1,2024-07-06,2024-06-18,18,Ramanagara,2,Crimes Against Property,3,1,725,1
139,877,1,2025-10-07,2025-08-13,55,Chamarajanagara,3,Crimes Against Women,2,1,1326,1
140,940,2,2024-01-17,2024-01-14,3,Bengaluru Rural,1,Crimes Against Body,1,1,395,1
141,103,1,2026-07-12,2026-06-24,18,Bengaluru Urban,3,Crimes Against Women,1,1,177,1
142,581,1,2024-03-08,2024-03-04,4,Dharwad,9,Arms Act Offences,2,1,1037,1
143,786,1,2024-12-22,2024-08-20,124,Dakshina Kannada,3,Crimes Against Women,2,1,1373,1
144,672,2,2025-01-09,2024-10-12,89,Bengaluru Urban,2,Crimes Against Property,2,1,1194,1
145,153,1,2024-02-01,2024-01-29,3,Mysuru,2,Crimes Against Property,2,1,278,1
146,793,1,2024-07-01,2024-06-28,3,Chamarajanagara,7,Cyber Crimes,2,1,1388,1
147,287,2,2026-05-30,2025-12-28,153,Belagavi (Belgaum),8,Drug/Narcotic Offences,2,1,515,1
148,737,1,2024-02-14,2024-01-21,24,Bengaluru Urban,7,Cyber Crimes,2,1,1299,1
149,381,1,2026-02-14,2026-02-11,3,Bengaluru Urban,8,Drug/Narcotic Offences,2,1,682,1
150,824,2,2024-09-30,2024-09-04,26,Belagavi (Belgaum),1,Crimes Against Body,2,1,1446,1
151,482,2,2025-07-30,2025-05-12,79,Ramanagara,3,Crimes Against Women,2,1,845,1
152,144,1,2024-04-10,2024-04-06,4,Bengaluru Urban,1,Crimes Against Body,2,1,263,1
153,540,1,2024-04-06,2024-03-30,7,Bengaluru Urban,1,Crimes Against Body,3,1,946,1
154,154,2,2025-03-06,2025-02-04,30,Bengaluru Urban,1,Crimes Against Body,1,1,280,0
155,889,1,2025-10-02,2025-08-09,54,Mandya,3,Crimes Against Women,1,1,940,1
156,481,1,2025-10-02,2025-09-29,3,Belagavi (Belgaum),3,Crimes Against Women,2,1,843,1
157,579,1,2025-05-18,2025-05-13,5,Bengaluru Urban,3,Crimes Against Women,2,1,1029,1
158,608,1,2026-03-17,2026-02-14,31,Bengaluru Rural,11,Traffic Related Offences,2,1,1084,1
159,79,1,2025-05-26,2025-05-18,8,Mysuru,3,Crimes Against Women,2,1,131,1
160,600,2,2025-08-08,2025-06-05,64,Bengaluru Urban,3,Crimes Against Women,2,1,1069,1
161,614,2,2024-12-04,2024-11-27,7,Bengaluru Urban,15,Other IPC Crimes,2,1,1093,1
162,6,1,2025-02-11,2024-09-04,160,Bengaluru Urban,8,Drug/Narcotic Offences,1,1,9,1
163,880,2,2025-12-08,2025-11-22,16,Mysuru,3,Crimes Against Women,2,1,1228,1
164,258,1,2026-07-07,2026-06-11,26,Mysuru,3,Crimes Against Women,1,1,463,1
165,768,1,2024-10-09,2024-10-04,5,Tumakuru,1,Crimes Against Body,1,1,1346,1
166,967,1,2025-02-26,2025-02-23,3,Bengaluru Urban,7,Cyber Crimes,2,1,1416,1
167,310,1,2024-01-13,2024-01-08,5,Chikkamagaluru,1,Crimes Against Body,3,1,554,1
168,622,1,2025-08-19,2025-08-18,1,Bengaluru Urban,11,Traffic Related Offences,1,1,1110,1
169,110,1,2025-03-05,2025-02-05,28,Dharwad,7,Cyber Crimes,2,1,195,1
170,436,1,2026-02-27,2026-02-22,5,Dharwad,3,Crimes Against Women,1,1,772,1
171,382,1,2024-08-19,2024-06-14,66,Mandya,15,Other IPC Crimes,2,1,683,1
172,50,1,2024-10-17,2024-09-20,27,Bengaluru Urban,3,Crimes Against Women,2,1,83,1
173,346,1,2026-02-22,2026-02-18,4,Ballari (Bellary),7,Cyber Crimes,2,1,617,1
174,730,1,2026-02-21,2026-02-18,3,Chikkamagaluru,1,Crimes Against Body,2,1,1288,1
175,453,2,2025-12-17,2025-09-22,86,Chikkaballapura,5,Crimes Against SCs/STs,2,1,799,1
176,347,1,2025-12-14,2025-11-22,22,Chitradurga,1,Crimes Against Body,3,1,618,1
177,830,1,2024-08-14,2024-07-21,24,Kalaburagi (Gulbarga),2,Crimes Against Property,1,1,1454,1
178,919,2,2025-03-11,2025-01-18,52,Udupi,2,Crimes Against Property,2,1,1105,1
179,726,1,2024-10-08,2024-09-24,14,Uttara Kannada,3,Crimes Against Women,2,1,1284,1
180,671,1,2025-08-19,2025-07-30,20,Mandya,7,Cyber Crimes,2,1,1192,1
181,118,1,2025-02-17,2025-02-14,3,Bengaluru Urban,7,Cyber Crimes,2,1,215,1
182,693,1,2025-04-11,2025-03-28,14,Bidar,7,Cyber Crimes,1,1,1227,1
183,221,1,2025-01-21,2024-12-07,45,Bengaluru Urban,6,Economic Offences,2,1,402,1
184,425,2,2024-07-01,2024-06-24,7,Kalaburagi (Gulbarga),2,Crimes Against Property,2,1,755,1
185,311,1,2026-03-26,2026-03-25,1,Hassan,3,Crimes Against Women,1,1,556,1
186,509,1,2025-08-24,2025-08-17,7,Bengaluru Urban,14,Sexual Offences,3,1,883,1
187,459,2,2025-11-10,2025-11-04,6,Ballari (Bellary),7,Cyber Crimes,2,1,813,1
188,863,2,2024-04-01,2024-02-03,58,Bengaluru Rural,2,Crimes Against Property,2,1,222,1
189,455,1,2025-02-08,2024-12-14,56,Chamarajanagara,3,Crimes Against Women,2,1,801,1
190,560,1,2024-10-04,2024-08-22,43,Tumakuru,6,Economic Offences,1,1,998,1
191,443,1,2025-07-11,2025-05-23,49,Kodagu,2,Crimes Against Property,2,1,785,1
192,831,1,2026-07-01,2026-06-19,12,Chitradurga,1,Crimes Against Body,3,1,1455,0
193,866,1,2026-02-13,2026-02-10,3,Bengaluru Urban,11,Traffic Related Offences,1,1,103,1
194,142,1,2024-11-07,2024-10-28,10,Mandya,2,Crimes Against Property,2,1,260,1
195,543,1,2024-02-02,2024-02-01,1,Dharwad,7,Cyber Crimes,2,1,953,1
196,744,1,2025-10-16,2025-07-19,89,Belagavi (Belgaum),2,Crimes Against Property,2,1,1309,1
197,168,1,2025-09-15,2025-09-14,1,Ballari (Bellary),2,Crimes Against Property,2,1,305,1
198,642,1,2024-03-28,2024-03-22,6,Bengaluru Urban,2,Crimes Against Property,1,1,1141,1
199,556,1,2025-07-17,2025-07-15,2,Bengaluru Urban,2,Crimes Against Property,3,1,987,1
200,499,1,2024-12-22,2024-12-17,5,Kolar,2,Crimes Against Property,2,1,869,1
201,146,1,2024-04-20,2024-04-14,6,Tumakuru,8,Drug/Narcotic Offences,3,1,267,1
202,722,1,2026-02-14,2026-02-13,1,Chikkaballapura,1,Crimes Against Body,1,1,1276,1
203,808,2,2026-05-08,2026-04-10,28,Kolar,2,Crimes Against Property,2,1,1421,1
204,728,1,2024-01-19,2024-01-14,5,Dakshina Kannada,1,Crimes Against Body,2,1,1286,1
205,493,1,2024-12-06,2024-11-29,7,Chikkaballapura,1,Crimes Against Body,2,1,861,1
206,508,1,2025-07-19,2025-07-12,7,Bengaluru Urban,3,Crimes Against Women,1,1,882,1
207,928,1,2025-01-13,2024-12-17,27,Bidar,11,Traffic Related Offences,2,1,102,1
208,891,1,2024-02-29,2024-02-19,10,Koppal,11,Traffic Related Offences,2,1,349,1
209,400,1,2026-02-12,2026-01-04,39,Dakshina Kannada,2,Crimes Against Property,2,1,716,1
210,115,1,2026-04-27,2026-01-29,88,Dakshina Kannada,8,Drug/Narcotic Offences,2,1,203,1
211,705,1,2025-01-06,2024-09-26,102,Bengaluru Urban,3,Crimes Against Women,2,1,1245,1
212,398,1,2024-12-05,2024-12-01,4,Bengaluru Rural,2,Crimes Against Property,2,1,712,1
213,367,1,2024-01-26,2024-01-22,4,Bengaluru Urban,2,Crimes Against Property,3,1,656,1
214,134,1,2026-01-30,2025-12-03,58,Bengaluru Urban,12,Environmental Offences,2,1,246,1
215,58,1,2024-04-16,2024-04-02,14,Uttara Kannada,2,Crimes Against Property,1,1,95,1
216,389,1,2025-12-19,2025-10-09,71,Gadag,7,Cyber Crimes,2,1,694,1
217,535,1,2025-04-21,2025-03-22,30,Bengaluru Urban,2,Crimes Against Property,2,1,938,1
218,512,2,2026-04-22,2025-12-11,132,Bengaluru Urban,7,Cyber Crimes,2,1,891,1
219,81,2,2025-12-10,2025-12-07,3,Tumakuru,6,Economic Offences,2,1,134,1
220,861,1,2026-07-20,2026-06-29,21,Yadgir,1,Crimes Against Body,2,1,607,1
221,416,2,2025-01-21,2025-01-15,6,Mysuru,2,Crimes Against Property,2,1,736,1
222,942,1,2024-12-30,2024-11-23,37,Bengaluru Urban,8,Drug/Narcotic Offences,1,1,989,1
223,36,1,2025-10-01,2025-07-25,68,Mysuru,6,Economic Offences,2,1,58,1
224,91,1,2025-12-29,2025-12-12,17,Bengaluru Urban,8,Drug/Narcotic Offences,2,1,155,1
225,794,1,2024-04-07,2024-04-02,5,Tumakuru,2,Crimes Against Property,1,1,1390,1
226,828,1,2025-09-23,2025-09-22,1,Belagavi (Belgaum),9,Arms Act Offences,1,1,1452,1
227,225,1,2025-11-27,2025-11-21,6,Bengaluru Rural,7,Cyber Crimes,2,1,408,1
228,124,2,2026-02-05,2026-01-08,28,Uttara Kannada,8,Drug/Narcotic Offences,2,1,228,1
229,522,1,2025-05-28,2025-03-18,71,Chitradurga,1,Crimes Against Body,1,1,914,1
230,291,1,2025-07-04,2025-07-02,2,Tumakuru,2,Crimes Against Property,2,1,520,1
231,648,1,2024-02-22,2024-02-18,4,Kodagu,7,Cyber Crimes,1,1,1149,1
232,249,2,2026-04-27,2026-03-30,28,Chikkaballapura,6,Economic Offences,1,1,451,1
233,975,2,2024-06-15,2024-06-09,6,Bengaluru Urban,7,Cyber Crimes,2,1,427,1
234,197,2,2024-03-31,2024-03-28,3,Chikkamagaluru,2,Crimes Against Property,2,1,359,1
235,774,1,2025-12-25,2025-12-01,24,Bengaluru Urban,6,Economic Offences,2,1,1354,1
236,991,2,2025-06-27,2025-06-08,19,Bengaluru Urban,7,Cyber Crimes,3,1,328,1
237,645,1,2025-02-28,2024-10-22,129,Bengaluru Urban,11,Traffic Related Offences,2,1,1146,1
238,987,1,2025-05-28,2025-05-20,8,Udupi,7,Cyber Crimes,1,1,326,1
239,847,1,2024-04-20,2024-04-06,14,Bengaluru Urban,1,Crimes Against Body,1,1,1479,1
240,348,2,2024-02-10,2024-01-16,25,Uttara Kannada,15,Other IPC Crimes,2,1,620,1
241,829,1,2025-11-28,2025-11-08,20,Ballari (Bellary),3,Crimes Against Women,2,1,1453,1
242,503,2,2025-03-30,2025-01-10,79,Bidar,7,Cyber Crimes,2,1,876,1
243,706,2,2024-08-13,2024-06-06,68,Bagalkote,1,Crimes Against Body,2,1,1247,1
244,232,1,2025-07-18,2025-07-15,3,Tumakuru,2,Crimes Against Property,1,1,420,1
245,930,1,2025-04-13,2024-12-31,103,Mandya,3,Crimes Against Women,2,1,133,1
246,222,1,2024-05-30,2024-05-01,29,Tumakuru,2,Crimes Against Property,2,1,403,1
247,285,1,2024-03-15,2024-03-13,2,Belagavi (Belgaum),2,Crimes Against Property,2,1,512,0
248,88,1,2026-07-04,2026-04-12,83,Bengaluru Urban,2,Crimes Against Property,2,1,147,1
249,782,1,2026-03-17,2026-02-21,24,Shivamogga,14,Sexual Offences,2,1,1366,1
250,409,1,2025-08-02,2025-07-12,21,Bengaluru Urban,6,Economic Offences,3,1,727,1
251,838,1,2024-12-05,2024-11-18,17,Vijayanagara,11,Traffic Related Offences,2,1,1465,1
252,927,2,2024-09-13,2024-08-21,23,Mysuru,11,Traffic Related Offences,2,1,934,1
253,22,1,2025-10-10,2025-06-24,108,Bengaluru Urban,2,Crimes Against Property,2,1,34,1
254,679,1,2025-05-15,2025-04-04,41,Bengaluru Urban,7,Cyber Crimes,1,1,1203,1
255,211,1,2026-04-21,2026-04-14,7,Mysuru,8,Drug/Narcotic Offences,2,1,388,1
256,804,1,2025-01-22,2025-01-17,5,Tumakuru,7,Cyber Crimes,3,1,1415,1
257,235,1,2025-02-02,2024-09-09,146,Uttara Kannada,7,Cyber Crimes,2,1,424,1
258,386,1,2025-09-27,2025-09-15,12,Mysuru,1,Crimes Against Body,2,1,687,1
259,523,2,2024-12-20,2024-08-24,118,Bengaluru Urban,8,Drug/Narcotic Offences,2,1,915,1
260,937,2,2025-01-30,2025-01-02,28,Bengaluru Urban,10,Crimes Against Public Order,3,1,1245,1
261,669,1,2025-11-02,2025-09-23,40,Vijayanagara,2,Crimes Against Property,2,1,1188,1
262,461,1,2025-05-14,2025-04-22,22,Tumakuru,3,Crimes Against Women,2,1,815,1
263,288,1,2026-05-10,2026-05-09,1,Dakshina Kannada,10,Crimes Against Public Order,2,1,516,1
264,277,1,2025-12-22,2025-09-26,87,Chitradurga,8,Drug/Narcotic Offences,3,1,497,1
265,66,1,2025-06-20,2025-06-15,5,Bengaluru Urban,8,Drug/Narcotic Offences,2,1,103,1
266,145,1,2024-10-20,2024-10-16,4,Dakshina Kannada,11,Traffic Related Offences,2,1,265,1
267,27,1,2026-06-13,2026-04-12,62,Bengaluru Urban,4,Crimes Against Children,2,1,40,1
268,553,1,2025-11-04,2025-08-15,81,Chikkaballapura,4,Crimes Against Children,2,1,978,1
269,201,1,2024-01-19,2024-01-14,5,Bengaluru Urban,11,Traffic Related Offences,2,1,367,1
270,120,1,2024-05-04,2024-04-24,10,Bengaluru Urban,2,Crimes Against Property,2,1,219,1
271,586,1,2024-02-22,2024-02-20,2,Bengaluru Urban,4,Crimes Against Children,2,1,1047,1
272,905,1,2026-04-27,2026-02-08,78,Bidar,10,Crimes Against Public Order,2,1,349,1
273,181,1,2024-08-18,2024-08-16,2,Mysuru,6,Economic Offences,1,1,331,1
