CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,UnitName,DistrictName,CaseCategoryID,GravityOffenceID,GravityLabel,CrimeMajorHeadID,CrimeGroupName,CrimeMinorHeadID,CrimeSubHeadName,CaseStatusID,CaseStatusName,CourtID,latitude,longitude,IncidentDurationHours,ReportingDelayHours,IncidentMonth,IncidentDayOfWeek,IncidentHour,IsNightTime,HasChargesheet,IsResolved
21,100050117202500001,202500001,2025-01-30,117,Koramangala PS,Bengaluru Urban,1,3,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,12.923838,77.65097,48.0,72.0,1,0,0,1,0,0
22,100050120202500001,202500001,2025-06-24,120,Indiranagar PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,55,Chain Snatching,1,Under Investigation,,12.957279,77.57202,24.0,24.0,6,6,0,1,0,0
23,100140149202400001,202400001,2024-05-20,149,Gadag Town PS,Gadag,1,2,Unknown,1,Crimes Against Body,1,Murder,5,Closed (Undetected),,15.450388,75.645413,0.0,0.0,5,5,0,1,0,1
24,100090136202400001,202400001,2024-12-06,136,Chikkamagaluru Rural PS,Chikkamagaluru,1,2,Unknown,1,Crimes Against Body,4,Assault,6,Closed (False Case),,13.2644,75.794271,0.0,24.0,12,0,0,1,0,1
25,100230173202400001,202400001,2024-05-29,173,Raichur Town PS,Raichur,1,2,Unknown,8,Drug/Narcotic Offences,33,NDPS Trafficking,2,Charge Sheeted,24,16.213661,77.36448,48.0,24.0,5,1,0,1,1,0
26,300290179202400001,202400001,2024-11-22,179,Vijayanagara Town PS,Vijayanagara,3,2,Unknown,9,Arms Act Offences,35,Illegal Firearm Possession,1,Under Investigation,,15.182344,76.504343,48.0,72.0,11,4,0,1,0,0
27,300050117202600001,202600001,2026-04-12,117,Koramangala PS,Bengaluru Urban,3,2,Unknown,4,Crimes Against Children,17,Child Trafficking,7,Pending Trial,1,12.979127,77.688258,0.0,48.0,4,4,0,1,1,1
28,100210163202500001,202500001,2025-11-20,163,Mandya Town PS,Mandya,1,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,1,Under Investigation,,12.523696,76.848312,24.0,0.0,11,3,0,1,0,0
29,400190160202400001,202400001,2024-12-13,160,Kolar Rural PS,Kolar,4,2,Unknown,10,Crimes Against Public Order,37,Rioting,5,Closed (Undetected),,13.154551,78.10007,48.0,96.0,12,0,0,1,0,1
30,500060130202500001,202500001,2025-03-17,130,Bidar Rural PS,Bidar,5,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,1,Under Investigation,,17.959871,77.529281,0.0,48.0,3,0,0,1,0,0
31,100030109202400001,202400001,2024-01-16,109,Shahapur PS,Belagavi (Belgaum),1,2,Unknown,2,Crimes Against Property,10,Vehicle Theft,1,Under Investigation,,15.851245,74.538317,24.0,24.0,1,5,0,1,0,0
32,100240174202400001,202400001,2024-06-27,174,Ramanagara Town PS,Ramanagara,1,1,Unknown,1,Crimes Against Body,1,Murder,1,Under Investigation,,12.76012,77.262494,48.0,48.0,6,3,0,1,0,0
33,300050117202500001,202500001,2025-09-01,117,Koramangala PS,Bengaluru Urban,3,2,Unknown,2,Crimes Against Property,10,Vehicle Theft,1,Under Investigation,,12.982607,77.520671,48.0,96.0,8,3,0,1,0,0
34,100220165202500001,202500001,2025-10-12,165,Devaraja PS,Mysuru,1,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,1,Under Investigation,,12.339354,76.684957,48.0,96.0,10,0,0,1,0,0
35,800050126202500001,202500001,2025-11-01,126,Hebbal PS,Bengaluru Urban,8,3,Unknown,2,Crimes Against Property,10,Vehicle Theft,5,Closed (Undetected),,13.012987,77.599467,0.0,0.0,11,5,0,1,0,1
36,100220172202500001,202500001,2025-07-25,172,Bannimantap PS,Mysuru,1,2,Unknown,6,Economic Offences,24,Criminal Breach of Trust,1,Under Investigation,,12.320082,76.676733,0.0,24.0,7,2,0,1,0,0
37,100090135202500001,202500001,2025-11-27,135,Chikkamagaluru Town PS,Chikkamagaluru,1,2,Unknown,2,Crimes Against Property,10,Vehicle Theft,5,Closed (Undetected),,13.281889,75.785612,48.0,48.0,11,0,0,1,0,1
38,400020105202400001,202400001,2024-04-10,105,Ballari (Bellary) Rural PS,Ballari (Bellary),4,2,Unknown,2,Crimes Against Property,6,Theft,2,Charge Sheeted,1,15.152209,76.877442,24.0,48.0,4,0,0,1,0,0
39,100120146202500001,202500001,2025-05-17,146,Davanagere Rural PS,Davanagere,1,1,Unknown,1,Crimes Against Body,2,Attempt to Murder,2,Charge Sheeted,1,14.47488,75.862346,48.0,24.0,5,4,0,1,1,0
40,100050117202500002,202500002,2025-06-05,117,Koramangala PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,6,Theft,5,Closed (Undetected),,13.095908,77.513505,48.0,96.0,5,4,0,1,0,1
41,100220165202500002,202500002,2025-06-21,165,Devaraja PS,Mysuru,1,2,Unknown,14,Sexual Offences,50,Outraging Modesty,2,Charge Sheeted,1,12.321114,76.691299,24.0,96.0,6,6,0,1,1,0
42,200220165202400001,202400001,2024-03-06,165,Devaraja PS,Mysuru,2,2,Unknown,8,Drug/Narcotic Offences,32,Ganja Possession,1,Under Investigation,,12.307961,76.635292,24.0,168.0,2,2,0,1,0,0
43,200120146202400002,202400002,2024-07-07,146,Davanagere Rural PS,Davanagere,2,2,Unknown,15,Other IPC Crimes,54,Mischief,5,Closed (Undetected),,14.425505,75.964687,24.0,72.0,7,3,0,1,0,1
44,100260176202400001,202400001,2024-03-15,176,Tumakuru Town PS,Tumakuru,1,2,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,13.36336,77.133137,0.0,72.0,3,0,0,1,0,0
45,100050120202500002,202500002,2025-05-25,120,Indiranagar PS,Bengaluru Urban,1,2,Unknown,1,Crimes Against Body,3,Culpable Homicide,1,Under Investigation,,13.076551,77.672256,24.0,96.0,5,1,0,1,0,0
46,100050124202600001,202600001,2026-03-11,124,Banashankari PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,55,Chain Snatching,1,Under Investigation,,12.908,77.532403,48.0,48.0,3,6,0,1,0,0
47,100050117202400001,202400001,2024-01-01,117,Koramangala PS,Bengaluru Urban,1,2,Unknown,7,Cyber Crimes,30,Data Theft,7,Pending Trial,1,13.075022,77.617025,48.0,24.0,12,6,0,1,1,1
48,100030110202400001,202400001,2024-02-16,110,Gandhinagar PS,Belagavi (Belgaum),1,2,Unknown,15,Other IPC Crimes,54,Mischief,4,Acquitted,1,15.868841,74.583889,24.0,96.0,2,6,0,1,0,1
49,200050119202400001,202400001,2024-09-07,119,HSR Layout PS,Bengaluru Urban,2,2,Unknown,3,Crimes Against Women,15,Acid Attack,5,Closed (Undetected),,13.009281,77.693883,0.0,48.0,9,2,0,1,0,1
50,200050119202400002,202400002,2024-09-20,119,HSR Layout PS,Bengaluru Urban,2,2,Unknown,3,Crimes Against Women,14,Stalking,1,Under Investigation,,12.92668,77.641543,0.0,120.0,9,4,0,1,0,0
51,100110143202400001,202400001,2024-09-06,143,Mangalore West PS,Dakshina Kannada,1,1,Unknown,4,Crimes Against Children,16,Child Abuse,7,Pending Trial,12,12.899114,74.844802,0.0,0.0,9,1,0,1,0,1
52,300110144202500001,202500001,2025-02-25,144,Ullal PS,Dakshina Kannada,3,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,9,Compromised,,12.904871,74.832181,24.0,96.0,2,1,0,1,0,0
53,100170156202500001,202500001,2025-12-16,156,Kalaburagi (Gulbarga) Rural PS,Kalaburagi (Gulbarga),1,2,Unknown,2,Crimes Against Property,7,Robbery,8,Referred to Another PS,,17.359079,76.809201,0.0,48.0,12,6,0,1,0,0
54,200050123202500001,202500001,2025-04-21,123,KR Puram PS,Bengaluru Urban,2,1,Unknown,5,Crimes Against SCs/STs,22,Caste Abuse,2,Charge Sheeted,1,13.020525,77.625299,24.0,96.0,4,0,0,1,1,0
55,100050115202600001,202600001,2026-04-23,115,Whitefield PS,Bengaluru Urban,1,1,Unknown,6,Economic Offences,26,Bank Fraud,1,Under Investigation,,12.90056,77.668165,0.0,72.0,4,3,0,1,0,0
56,100290179202500001,202500001,2025-10-16,179,Vijayanagara Town PS,Vijayanagara,1,2,Unknown,8,Drug/Narcotic Offences,33,NDPS Trafficking,1,Under Investigation,,15.180205,76.438843,48.0,72.0,10,5,0,1,0,0
57,100050119202400001,202400001,2024-07-07,119,HSR Layout PS,Bengaluru Urban,1,2,Unknown,7,Cyber Crimes,29,Cyber Stalking,2,Charge Sheeted,36,13.006081,77.626749,48.0,168.0,6,6,0,1,0,0
58,100280178202400001,202400001,2024-04-02,178,Uttara Kannada Town PS,Uttara Kannada,1,1,Unknown,2,Crimes Against Property,9,Burglary,2,Charge Sheeted,1,14.807961,74.662505,48.0,48.0,3,5,0,1,1,0
59,800210164202500001,202500001,2025-02-28,164,Mandya Rural PS,Mandya,8,2,Unknown,11,Traffic Related Offences,40,Rash Driving,5,Closed (Undetected),,12.525316,76.956155,24.0,24.0,2,3,0,1,0,1
60,100130148202500001,202500001,2025-02-14,148,Dharwad Rural PS,Dharwad,1,2,Unknown,3,Crimes Against Women,11,Dowry Death,7,Pending Trial,1,15.496493,75.038329,48.0,48.0,2,1,0,1,0,1
61,100020105202500001,202500001,2025-08-17,105,Ballari (Bellary) Rural PS,Ballari (Bellary),1,1,Unknown,1,Crimes Against Body,2,Attempt to Murder,1,Under Investigation,,15.093629,76.862515,48.0,0.0,8,6,0,1,0,0
62,100010103202500001,202500001,2025-03-19,103,Bagalkote Rural PS,Bagalkote,1,2,Unknown,11,Traffic Related Offences,41,Hit and Run,1,Under Investigation,,16.216055,75.644255,48.0,120.0,3,2,0,1,0,0
63,800220165202500001,202500001,2025-07-04,165,Devaraja PS,Mysuru,8,2,Unknown,10,Crimes Against Public Order,39,Promoting Enmity,7,Pending Trial,37,12.315718,76.633551,24.0,120.0,6,4,0,1,0,1
64,100050116202400002,202400002,2024-12-09,116,Electronic City PS,Bengaluru Urban,1,1,Unknown,10,Crimes Against Public Order,39,Promoting Enmity,1,Under Investigation,,12.912697,77.698272,24.0,48.0,12,5,0,1,0,0
65,100040113202500001,202500001,2025-02-18,113,Bengaluru Rural Rural PS,Bengaluru Rural,1,3,Unknown,1,Crimes Against Body,1,Murder,6,Closed (False Case),,13.256155,77.583549,24.0,72.0,2,5,0,1,0,1
66,100050125202500001,202500001,2025-06-15,125,Rajajinagar PS,Bengaluru Urban,1,2,Unknown,8,Drug/Narcotic Offences,33,NDPS Trafficking,1,Under Investigation,,13.061844,77.699327,48.0,96.0,6,6,0,1,0,0
67,100280178202500001,202500001,2025-12-04,178,Uttara Kannada Town PS,Uttara Kannada,1,2,Unknown,1,Crimes Against Body,3,Culpable Homicide,1,Under Investigation,,14.800191,74.676508,0.0,24.0,11,5,0,1,0,0
68,100050116202600001,202600001,2026-01-06,116,Electronic City PS,Bengaluru Urban,1,2,Unknown,1,Crimes Against Body,2,Attempt to Murder,7,Pending Trial,35,13.072814,77.629619,0.0,72.0,1,5,0,1,1,1
69,100050116202500002,202500002,2025-04-19,116,Electronic City PS,Bengaluru Urban,1,3,Unknown,6,Economic Offences,23,Cheating,7,Pending Trial,36,12.934901,77.672661,24.0,24.0,4,0,0,1,1,1
70,200220168202600001,202600001,2026-03-26,168,Vijayanagar PS,Mysuru,2,2,Unknown,2,Crimes Against Property,9,Burglary,7,Pending Trial,1,12.338359,76.608987,0.0,0.0,3,1,0,1,1,1
71,100140150202500001,202500001,2025-12-28,150,Gadag Rural PS,Gadag,1,2,Unknown,11,Traffic Related Offences,41,Hit and Run,7,Pending Trial,1,15.385824,75.571085,48.0,96.0,12,6,0,1,1,1
72,200050114202400001,202400001,2024-04-03,114,Cubbon Park PS,Bengaluru Urban,2,2,Unknown,1,Crimes Against Body,1,Murder,2,Charge Sheeted,1,13.074167,77.671137,48.0,72.0,3,5,0,1,1,0
73,200250175202400001,202400001,2024-02-03,175,Shivamogga Town PS,Shivamogga,2,2,Unknown,2,Crimes Against Property,6,Theft,1,Under Investigation,,13.897374,75.555119,48.0,96.0,1,6,0,1,0,0
74,100160154202500001,202500001,2025-03-22,154,Haveri Rural PS,Haveri,1,2,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,14.82874,75.373908,24.0,168.0,3,5,0,1,0,0
75,200110142202600001,202600001,2026-01-12,142,Mangalore East PS,Dakshina Kannada,2,2,Unknown,10,Crimes Against Public Order,37,Rioting,5,Closed (Undetected),,12.919638,74.82976,0.0,144.0,1,0,0,1,0,1
76,100160153202400001,202400001,2024-07-22,153,Haveri Town PS,Haveri,1,3,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,14.754165,75.415281,0.0,96.0,7,2,0,1,0,0
77,300050125202500001,202500001,2025-01-17,125,Rajajinagar PS,Bengaluru Urban,3,2,Unknown,2,Crimes Against Property,55,Chain Snatching,1,Under Investigation,,13.037078,77.529587,0.0,24.0,1,5,0,1,0,0
78,100010103202500002,202500002,2025-04-21,103,Bagalkote Rural PS,Bagalkote,1,1,Unknown,7,Cyber Crimes,30,Data Theft,8,Referred to Another PS,,16.20443,75.641825,48.0,48.0,4,4,0,1,0,0
79,300220165202500001,202500001,2025-05-18,165,Devaraja PS,Mysuru,3,2,Unknown,3,Crimes Against Women,13,Sexual Harassment,2,Charge Sheeted,23,12.319354,76.638541,24.0,72.0,5,0,0,1,1,0
80,100210164202600001,202600001,2026-06-25,164,Mandya Rural PS,Mandya,1,2,Unknown,10,Crimes Against Public Order,37,Rioting,2,Charge Sheeted,22,12.516816,76.917679,48.0,168.0,6,3,0,1,1,0
81,100260176202500001,202500001,2025-12-07,176,Tumakuru Town PS,Tumakuru,1,2,Unknown,6,Economic Offences,25,Forgery,1,Under Investigation,,13.38905,77.096793,48.0,72.0,12,3,0,1,0,0
82,100220168202400001,202400001,2024-11-29,168,Vijayanagar PS,Mysuru,1,2,Unknown,2,Crimes Against Property,55,Chain Snatching,2,Charge Sheeted,37,12.306152,76.615384,24.0,0.0,11,4,0,1,1,0
83,100310181202400001,202400001,2024-09-21,181,Yadgir Town PS,Yadgir,1,1,Unknown,3,Crimes Against Women,14,Stalking,7,Pending Trial,32,16.784729,77.142806,0.0,48.0,9,3,0,1,1,1
84,100010103202600001,202600001,2026-06-12,103,Bagalkote Rural PS,Bagalkote,1,1,Unknown,2,Crimes Against Property,8,Dacoity,5,Closed (Undetected),,16.170777,75.735078,0.0,72.0,6,4,0,1,0,1
85,100070131202600001,202600001,2026-07-02,131,Chamarajanagara Town PS,Chamarajanagara,1,2,Unknown,2,Crimes Against Property,10,Vehicle Theft,1,Under Investigation,,11.899534,76.888494,0.0,120.0,6,5,0,1,0,0
86,500110144202500001,202500001,2025-07-23,144,Ullal PS,Dakshina Kannada,5,1,Unknown,3,Crimes Against Women,14,Stalking,1,Under Investigation,,12.901831,74.840168,0.0,0.0,7,2,0,1,0,0
87,100040112202600001,202600001,2026-06-24,112,Bengaluru Rural Town PS,Bengaluru Rural,1,1,Unknown,3,Crimes Against Women,12,Domestic Violence,2,Charge Sheeted,1,13.281234,77.556826,48.0,72.0,6,6,0,1,1,0
88,100050116202600002,202600002,2026-04-12,116,Electronic City PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,8,Dacoity,7,Pending Trial,40,13.060394,77.671328,48.0,48.0,4,0,0,1,1,1
89,400050126202600001,202600001,2026-01-14,126,Hebbal PS,Bengaluru Urban,4,2,Unknown,2,Crimes Against Property,9,Burglary,6,Closed (False Case),,12.981786,77.612986,0.0,96.0,1,4,0,1,0,1
90,100060129202400001,202400001,2024-04-02,129,Bidar Town PS,Bidar,1,2,Unknown,9,Arms Act Offences,36,Illegal Arms Manufacturing,1,Under Investigation,,17.86644,77.565592,48.0,48.0,3,2,0,1,0,0
91,100050120202500003,202500003,2025-12-12,120,Indiranagar PS,Bengaluru Urban,1,2,Unknown,8,Drug/Narcotic Offences,32,Ganja Possession,2,Charge Sheeted,34,13.003246,77.593133,0.0,96.0,12,0,0,1,1,0
92,100270177202500001,202500001,2025-10-26,177,Udupi Town PS,Udupi,1,2,Unknown,2,Crimes Against Property,9,Burglary,1,Under Investigation,,13.389428,74.728927,48.0,72.0,10,1,0,1,0,0
93,100090136202600001,202600001,2026-06-23,136,Chikkamagaluru Rural PS,Chikkamagaluru,1,2,Unknown,2,Crimes Against Property,7,Robbery,7,Pending Trial,10,13.379535,75.822732,0.0,0.0,6,2,0,1,0,1
94,100060130202500001,202500001,2025-04-27,130,Bidar Rural PS,Bidar,1,2,Unknown,1,Crimes Against Body,2,Attempt to Murder,2,Charge Sheeted,1,17.891316,77.573328,0.0,96.0,4,2,0,1,0,0
95,300050123202500001,202500001,2025-10-10,123,KR Puram PS,Bengaluru Urban,3,1,Unknown,11,Traffic Related Offences,42,Drunken Driving,2,Charge Sheeted,1,13.002673,77.519445,0.0,24.0,10,3,0,1,0,0
96,100050127202400001,202400001,2024-03-17,127,Peenya PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,55,Chain Snatching,5,Closed (Undetected),,12.923414,77.599226,0.0,0.0,3,2,0,1,0,1
97,100050115202500001,202500001,2025-10-16,115,Whitefield PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,10,Vehicle Theft,2,Charge Sheeted,33,13.068215,77.699632,48.0,48.0,10,0,0,1,1,0
98,100050122202500001,202500001,2025-06-22,122,Yelahanka PS,Bengaluru Urban,1,1,Unknown,3,Crimes Against Women,11,Dowry Death,4,Acquitted,36,12.916801,77.651831,0.0,0.0,6,5,0,1,0,1
99,100120145202600001,202600001,2026-06-25,145,Davanagere Town PS,Davanagere,1,3,Unknown,2,Crimes Against Property,7,Robbery,1,Under Investigation,,14.494991,75.917567,48.0,48.0,6,5,0,1,0,0
100,100050120202500004,202500004,2025-09-12,120,Indiranagar PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,7,Robbery,4,Acquitted,33,12.987064,77.665035,24.0,48.0,9,2,0,1,0,1
101,100050117202400002,202400002,2024-12-05,117,Koramangala PS,Bengaluru Urban,1,1,Unknown,10,Crimes Against Public Order,39,Promoting Enmity,5,Closed (Undetected),,12.981248,77.51742,48.0,96.0,11,4,0,1,0,1
102,200060130202600001,202600001,2026-01-29,130,Bidar Rural PS,Bidar,2,2,Unknown,11,Traffic Related Offences,40,Rash Driving,1,Under Investigation,,17.904898,77.50025,24.0,96.0,1,3,0,1,0,0
103,100050125202600001,202600001,2026-06-24,125,Rajajinagar PS,Bengaluru Urban,1,1,Unknown,3,Crimes Against Women,15,Acid Attack,4,Acquitted,36,13.091541,77.572475,24.0,0.0,6,2,0,1,1,1
104,100070132202600001,202600001,2026-02-14,132,Chamarajanagara Rural PS,Chamarajanagara,1,1,Unknown,13,Crimes Related to Documents/Property,47,Land Fraud,2,Charge Sheeted,8,11.978142,76.968149,0.0,24.0,2,4,0,1,0,0
105,500280178202400001,202400001,2024-05-16,178,Uttara Kannada Town PS,Uttara Kannada,5,2,Unknown,6,Economic Offences,23,Cheating,2,Charge Sheeted,1,14.827041,74.647162,24.0,72.0,5,6,0,1,0,0
106,100260176202500002,202500002,2025-03-12,176,Tumakuru Town PS,Tumakuru,1,2,Unknown,7,Cyber Crimes,30,Data Theft,1,Under Investigation,,13.302519,77.15016,24.0,0.0,3,2,0,1,0,0
107,300300180202500001,202500001,2025-12-30,180,Vijayapura Town PS,Vijayapura,3,2,Unknown,11,Traffic Related Offences,42,Drunken Driving,7,Pending Trial,1,16.869105,75.745239,48.0,96.0,12,3,0,1,1,1
108,300220165202400001,202400001,2024-12-21,165,Devaraja PS,Mysuru,3,2,Unknown,2,Crimes Against Property,9,Burglary,3,Convicted,37,12.346402,76.640308,24.0,48.0,12,3,0,1,1,1
109,100200162202500001,202500001,2025-10-02,162,Koppal Rural PS,Koppal,1,2,Unknown,11,Traffic Related Offences,41,Hit and Run,1,Under Investigation,,15.380316,76.123047,48.0,144.0,9,3,0,1,0,0
110,500130147202500001,202500001,2025-02-05,147,Dharwad Town PS,Dharwad,5,2,Unknown,7,Cyber Crimes,29,Cyber Stalking,1,Under Investigation,,15.499398,75.050128,48.0,24.0,2,1,0,1,0,0
111,100260176202600001,202600001,2026-06-21,176,Tumakuru Town PS,Tumakuru,1,2,Unknown,4,Crimes Against Children,17,Child Trafficking,2,Charge Sheeted,1,13.288015,77.040373,0.0,24.0,6,2,0,1,1,0
112,100050115202400001,202400001,2024-11-28,115,Whitefield PS,Bengaluru Urban,1,2,Unknown,2,Crimes Against Property,6,Theft,7,Pending Trial,35,13.042404,77.654305,24.0,48.0,11,4,0,1,0,1
113,100050127202500002,202500002,2025-05-21,127,Peenya PS,Bengaluru Urban,1,1,Unknown,2,Crimes Against Property,9,Burglary,7,Pending Trial,1,12.922109,77.544894,24.0,0.0,5,2,0,1,1,1
114,800050115202400001,202400001,2024-11-18,115,Whitefield PS,Bengaluru Urban,8,1,Unknown,11,Traffic Related Offences,41,Hit and Run,2,Charge Sheeted,40,12.945256,77.673531,48.0,48.0,11,3,0,1,1,0
115,100110143202600001,202600001,2026-01-29,143,Mangalore West PS,Dakshina Kannada,1,2,Unknown,8,Drug/Narcotic Offences,33,NDPS Trafficking,1,Under Investigation,,12.855352,74.889741,0.0,48.0,1,4,0,1,0,0
116,100050122202500002,202500002,2025-04-16,122,Yelahanka PS,Bengaluru Urban,1,1,Unknown,1,Crimes Against Body,5,Grievous Hurt,7,Pending Trial,33,13.013075,77.563136,0.0,144.0,4,3,0,1,1,1
117,300050115202500001,202500001,2025-06-22,115,Whitefield PS,Bengaluru Urban,3,1,Unknown,2,Crimes Against Property,9,Burglary,2,Charge Sheeted,35,13.001587,77.541858,24.0,48.0,6,1,0,1,1,0
118,100050120202500005,202500005,2025-02-14,120,Indiranagar PS,Bengaluru Urban,1,2,Unknown,7,Cyber Crimes,27,Online Fraud,1,Under Investigation,,13.006837,77.514196,0.0,72.0,2,4,0,1,0,0
119,100050116202400003,202400003,2024-04-12,116,Electronic City PS,Bengaluru Urban,1,1,Unknown,10,Crimes Against Public Order,37,Rioting,2,Charge Sheeted,1,13.07234,77.533795,24.0,120.0,4,4,0,1,0,0
120,200050128202400001,202400001,2024-04-24,128,Basavanagudi PS,Bengaluru Urban,2,2,Unknown,2,Crimes Against Property,9,Burglary,2,Charge Sheeted,1,12.940027,77.500189,0.0,0.0,4,2,0,1,1,0
121,200050115202400002,202400002,2024-02-19,115,Whitefield PS,Bengaluru Urban,2,2,Unknown,1,Crimes Against Body,1,Murder,3,Convicted,36,12.921159,77.657391,0.0,48.0,2,5,0,1,1,1
122,100050116202600003,202600003,2026-04-28,116,Electronic City PS,Bengaluru Urban,1,2,Unknown,1,Crimes Against Body,2,Attempt to Murder,1,Under Investigation,,13.096661,77.622536,0.0,24.0,4,5,0,1,0,0
